Ana Klasör,Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,death,"ölüm, vefat, katil",isim,B1,,I'm on death row.,Ben ölüm hücresindeyim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,debate,"çekişmek, çekişme, tartışma",fiil,B1,,It was a hot debate.,O sıcak bir tartışmaydı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,decade,"10 yıl, on yıl, onlu grup",isim,B1,,I lost my son about a decade ago.,Yaklaşık on yıl önce oğlumu kaybettim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,decades,on yıllar,isim,B2,,It hasn't been this hot in decades.,On yıllardır bu kadar sıcak görülmemişti.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,decide,"karar vermek, belirlemek, azmetmek",fiil,B1,,I'll let you decide.,Karar vermene izin vereceğim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,decided,"kararlı, karar verilmiş, tartışmasız",sıfat,B2,,I've decided to go.,Gitmeye karar verdim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,decision,"karar, yargı, emir",isim,B2,,It's Tom's decision.,"O, Tom'un kararı."
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,decline,"zayıflamak, inişe geçmek, geri çevirmek",fiil,B2,"decrease, diminish, drop",I had to decline his offer.,Onun teklifini geri çevirmek zorunda kaldım.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,decrease,"küçülmek, azaltmak, düşüş göstermek",fiil,B2,"diminish, decline",This medicine will decrease your pain.,Bu ilaç ağrını azaltacak.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,deep,"derin, deniz, derince",sıfat,B1,,He's deep in debt.,"O, borca batmış."
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,defeat,"yenmek, bozguna uğratmak, mağlup etmek",fiil,B1,,You can't defeat me.,Beni yenemezsin.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,defect,"bozukluk, arıza, kusur",isim,B1,,A quick temper is the only defect in her character.,Karakterindeki tek kusur hızlı bir öfke.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,defend,"savunmak, korumak, kanat açmak",fiil,B1,,I won't defend Tom.,Tom'u savunmayacağım.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,define,"tanımlamak, sınırlamak, belirtmek",fiil,B1,,Let's define our terms.,Şartlarımızı tanımlayalım.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,defined,"tanımlanmış, belirtili, tamlanan",sıfat,B2,,Tom's muscles are well-defined.,Tom'un kasları iyi tanımlanmıştır.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,definite,"belirli, belli, mahdut",sıfat,B2,,I have no definite plans.,Kesin planlarım yok.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),definitely,"kesinlikle, tamamen, elbette",zarf,C1,,I'll definitely do that.,Bunu kesinlikle yapacağım.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",deforestation,"orman açma, ormanları tahrip etme, ormansızlaşma",isim,C1,,Their habitat is threatened by deforestation.,Onların yetişme ortamı ormansızlaşma tarafından tehdit ediliyor.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,delay,"gecikmek, ertelemek, rötar",fiil,B1,,We had a slight delay.,Hafif bir gecikmemiz vardı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,delayed,"rötarlı, geciktirilmiş, tehirli",sıfat,B2,,Tom's flight was delayed.,Tom'un uçuşu ertelendi.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),deliberately,"kasten, bilerek, kasti olarak",zarf,C1,,I didn't do it deliberately.,Kasten yapmadım.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,delicate,"narin, hassas, kolay kırılabilen",fiil,B2,"fragile, sensitive, subtle",It's a delicate problem.,"O, hassas bir problem."
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,delicious,"nefis, leziz, lezzetli",sıfat,B2,,I think this is delicious.,Bunun lezzetli olduğunu düşünüyorum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,deliver,"teslim etmek, yapmak, yapıştırmak",isim,B2,,I'll deliver the box.,Kutuyu teslim edeceğim.
Kütüphane: Akademik Fiiller,C1 Üst Düzey Paragraf Fiilleri,demonstrate,"ispat etmek, göstermek, kanıtlamak",fiil,C1,,I'll demonstrate it for you.,Bunu senin için kanıtlayacağım.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,demonstrated,"ispat edilmiş, ispat edilen",sıfat,C1,,The salesman demonstrated how to use it.,Satıcı onun nasıl kullanılacağını gösterdi.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,deny,"yalanlamak, inkar etmek, reddetmek",fiil,B1,,I can't deny it.,Bunu inkar edemem.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,depend,"bağlı olmak, güvenmek, bağımlı olmak",fiil,B1,,Don't depend on it.,Ona bağlı olma.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,dependable,"güvenilir, güvenli, güvenilebilir",sıfat,C1,,I'm pretty sure Tom's dependable.,Tom'un güvenilebilir olduğuna oldukça eminim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,dependent,"bağımlı, bağımlı kimse, başkasına muhtaç kimse",sıfat,B2,,We're dependent on each other.,Biz birbirimize bağlıyız.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,depression,"çöküntü, depresyon, bunalım",isim,C1,,She's in a depression.,O bir depresyonda.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,depth,"derinlik, dip, bilinçaltı",isim,B1,,We measured the depth of the river.,Nehrin derinliğini ölçtük.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,deserve,"hak etmek, layık olmak, hak kazanmak",fiil,B2,,I don't deserve it.,Ben onu hak etmiyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,design,"dizayn etmek, tasarlamak, tasarım",isim,B1,,It's a design flaw.,Bu bir tasarım kusuru.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,desire,"istek duymak, arzulamak, arzu etmek",isim,B1,,I have no desire to try.,Denemek için hiç arzum yok.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,desired,"geçer, arzu edilen, gerekli",sıfat,B2,,We all want to be desired.,Hepimiz arzulanmak istiyoruz.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,desperate,"çaresiz, umutsuz, her şeyi göze alabilen",fiil,B2,,I'm not that desperate.,O kadar da çaresiz değilim.
Kütüphane: Bağlaçlar & Edatlar,Zıtlık ve Karşılaştırma,despite,"rağmen, kin, garez",edat,B2,,I love him despite his faults.,Ben onun hatalarına rağmen onu seviyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,detailed,"ayrıntılı, detaylı, ayrıntılandırılmış",sıfat,B2,,I expect a detailed report.,Ayrıntılı bir rapor bekliyorum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,detect,"keşfetmek, sezmek, belirlemek",fiil,B1,,I can't detect any pattern.,Ben bir bağlantı kuramadım.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,determine,"azmetmek, kararlaştırmak, belirlemek",fiil,B2,,How did you determine that?,Onu nasıl kararlaştırdın?
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,determined,"azimli, belirlenmiş, kararlı",sıfat,C1,persistent,She's a determined woman.,"O, kararlı bir kadın."
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,detriment,"muhatara, muzır, zarar",isim,B2,,The investigation highlighted the critical role of detriment.,Soruşturma muhatara kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,detrimental,"zararlı, muzır, zarar veren",sıfat,C1,,Tom's stressful job is having a detrimental effect on his health.,Tom'un stresli işi sağlığı üzerinde zararlı bir etkiye sahiptir.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,develop,"geliştirmek, gelişmek, yıkamak",fiil,B2,,We must develop a plan.,Bir plan geliştirmeliyiz.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,developed,"gelişmiş, bayındırlaşmak, bayındır",sıfat,B2,,He developed his own theory.,"O, kendi teorisini geliştirdi."
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,development,"gelişim, gelişme, adet edinme",isim,C1,,This is a huge development.,Bu büyük bir gelişme.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,device,"cihaz, alet, nişan",isim,B1,,How is this device used?,Bu cihaz nasıl kullanılır?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,devices,aygıtlar,isim,B2,,All these devices are unreliable.,Bütün bu cihazlar güvenilir değil.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,di,"iki, çift, di",isim,B1,,Everyone dies sooner or later.,Herkes er ya da geç ölür.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,diagnose,"teşhis etmek, tanı koymak, teşhis koymak",fiil,B2,,Have you ever been diagnosed with HIV?,Hiç HIV tanısı aldınız mı?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,diagnosed,teşhis edilmiş,sıfat,B2,,Have you ever been diagnosed with HIV?,Hiç HIV tanısı aldınız mı?
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",diagnosis,"teşhis, tanı, belirtme",isim,B2,,It's a plausible diagnosis.,Bu makul bir tanı.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,diagnostic,"teşhis, tanısal, kontrol",sıfat,C1,,The empirical results of the study were remarkably diagnostic.,Çalışmanın ampirik sonuçlarının son derece teşhis olduğu görüldü.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,diamond,"elmas, camcı keskisi, baklava şekli",isim,B2,,Is that a real diamond?,O gerçek bir elmas mı?
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,die,"ölmek, vefat etmek, rahmetli olmak",fiil,B1,,Don't die on me.,Üstümde ölme.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",diet,"diyet, perhiz, perhiz vermek",isim,B1,,I'm on a diet.,Ben diyetteyim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,dietary,"rejim kuralları, rejim yemeği, perhiz yemeği",sıfat,B2,,The empirical results of the study were remarkably dietary.,Çalışmanın ampirik sonuçlarının son derece rejim kuralları olduğu görüldü.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",dietician,"diyetisyen, beslenme uzmanı, beslenme eğitimcisi",isim,B2,,The investigation highlighted the critical role of dietician.,Soruşturma diyetisyen kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",dietitian,"diyetisyen, diyet uzmanı, beslenme uzmanı",isim,B2,,The investigation highlighted the critical role of dietitian.,Soruşturma diyetisyen kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",dietitians,"diyetisyen, diyet uzmanı, beslenme uzmanı",isim,C1,,The investigation highlighted the critical role of dietitians.,Soruşturma diyetisyen kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,different,"farklı, değişik, başka",sıfat,B2,,It's all so different.,Onun hepsi çok farklı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,difficult,"çetin, zor, zorlu",sıfat,B2,,It's a difficult job.,Bu zor bir iş.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,difficulty,"zorluk, güçlük, açmazlık",isim,C1,,Are you in any difficulty?,Herhangi bir sıkıntı içinde misin?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,digging,"kazma, maden, kazı",isim,B2,"excavation, mining, burrowing",I'm digging a hole.,Bir çukur kazıyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,digital,"dijital, tuş, parmağa ait",sıfat,B2,,Can I borrow your digital camera tonight?,Bu gece senin dijital kameranı ödünç alabilir miyim?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,diminish,"azalmak, eksiltmek, hafifletmek",sıfat,B2,"decrease, reduce, lessen, decline",The rights of every man are diminished when the rights of one man are threatened.,"Bir insanın haklarının tehdit edildiğinde, her insanın hakları azaltılır."
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,direct,"yönlendirmek, yöneltmek, yönetmek",sıfat,B1,,Is it a direct flight?,O bir direkt uçuş mu?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,director,"yönetici, yönetmen, müdür",isim,B2,,Who became the new director?,Kim yeni yönetici oldu?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,disabled,"engelli, özürlü, etkisiz kılınmış",sıfat,B2,,That poor lady is disabled.,Şu zavallı kadın engelli.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,disappear,"ortadan kaybolmak, yok olmak, gözden kaybolmak",fiil,B2,,I just want to disappear.,Ben sadece ortadan kaybolmak istiyorum.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,disappearance,"gözden kaybolma, kaybolma, yok olma",isim,C1,,Everyone knows about Tom's disappearance.,Herkes Tom'un kaybolduğunu biliyor.
Kütüphane: Akademik Fiiller,C1 Üst Düzey Paragraf Fiilleri,disappoint,"hayal kırıklığına uğratmak, altüst etmek, ümidini boşa çıkarmak",fiil,C1,,I won't disappoint you.,Ben seni hayal kırıklığına uğratmayacağım.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,disappointed,"hayal kırıklığına uğramış, hüsrana uğramış, hayal kırıklığı uğramış",sıfat,C1,,I'm disappointed in you.,Senin hayal kırıklığına uğrattım.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,disappointment,"hüsran, hayal kırıklığı, ümidi boşa çıkma",isim,C1,,It was a huge disappointment.,Bu büyük bir hayal kırıklığıydı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,discharge,"taburcu etmek, tahliye etmek, tahliye",isim,B2,,I have a discharge from my left ear.,Benim sol kulağımda bir akıntı var.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,discomfort,"rahatsız etmek, rahatsızlık, bozmak",isim,C1,,Are you experiencing any discomfort?,Bir rahatsızlık hissediyor musunuz?
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",discover,"keşfetmek, çıkarmak, anlamak",isim,B2,,How did you discover that?,Sen onu nasıl keşfettin?
Kütüphane: Akademik Fiiller,C1 Üst Düzey Paragraf Fiilleri,discovered,"keşfedilmek, açığa çıkarılmak, bulunmak",fiil,C1,,He discovered a new star.,Yeni bir yıldız keşfetti.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",discoveries,"coğrafyada keşifler, bilimde keşifler, altın aramaları",isim,C1,,She made a series of medical discoveries.,O bir dizi tıbbi keşifler yaptı
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",discovering,buluculuk,isim,C1,,Learning another language means discovering a new world.,"Başka bir dil öğrenmek, yeni bir dünya keşfetmek demektir."
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",discovery,"buluş, bulgu, keşif",isim,B2,,I've made a discovery.,Bir keşif yaptım.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,discuss,"görüşmek, tartışmak, ele almak",fiil,B2,,I can't discuss it.,Bunu tartışamam.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,discussed,"görüşülmüş, tartışılmış",sıfat,B2,,I discussed it with Tom.,Onu Tom'la tartıştım.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,discussion,"tartışma, müzakere, bahis",isim,C1,,We had a heated discussion.,Hararetli bir tartışmamız vardı.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",disease,"hastalık, sayrılık, maraz",isim,B2,,It's a bad disease.,Bu kötü bir hastalık.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",diseases,hastalıklar,isim,B2,,Many diseases result from poverty.,Birçok hastalık yoksulluktan kaynaklanır.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,disgusting,"tiksindirici, iğrenç, çirkef",sıfat,C1,,I think it's disgusting.,Bunun iğrenç olduğunu düşünüyorum.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,dish,"tabak, mahvetmek, oymak",isim,A1,,This is Tom's dish.,Bu Tom'un yemeği.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,dishes,"tabak çanak, bulaşık, yemekler",isim,A1,,I'll do the dishes.,Ben bulaşıkları yıkayacağım.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,dishwasher,"bulaşıkçı, bulaşık makinesi",isim,A1,,I don't have a dishwasher.,Benim bir bulaşık makinem yok.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,dismantle,"sökmek, çıkarmak, parçalamak",fiil,B2,,The research committee agreed to dismantle the proposed methodology.,Araştırma komitesi önerilen metodolojiyi sökmek konusunda mutabık kaldı.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,dismiss,"azletmek, kovmak, işten atmak",fiil,B2,,Don't dismiss any possibility.,Hiçbir ihtimali dışlama.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,disparity,"farklılık, uyumsuzluk, ihtilaf",isim,B2,,The investigation highlighted the critical role of disparity.,Soruşturma farklılık kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,display,"sergilemek, gösterme, teşhir",isim,B2,,His latest works are on temporary display.,Onun en son çalışmaları geçici sergide.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,dispute,"çekişmek, tartışmak, tartışma",isim,B2,,I won't dispute that.,Onu tartışmayacağım.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,dissolve,"eritmek, çözmek, son vermek",fiil,B2,,Dissolve the tablet in a glass of water.,Tableti bir bardak su içinde erit.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,distance,"mesafe, uzaklık, geride bırakmak",isim,B2,,I can't judge distance.,Mesafeyi tahmin edemem.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,distant,"uzakta, uzak, mesafeli",sıfat,B2,,Why are you being so distant?,Neden bu kadar samimiyetsiz davranıyorsun?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,distinct,"belirgin, seçik, şüphesiz",sıfat,B2,,That's a distinct possibility.,Bu ayrı bir olasılık.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,disturbance,"kargaşa, rahatsızlık, rahatsız etme",isim,C1,,The police intervened in the disturbance.,Polis rahatsızlığa müdahale etti.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,disturbances,fitne,isim,C1,,The investigation highlighted the critical role of disturbances.,Soruşturma fitne kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,dive,"dalmak, dove/dived - dived, dived/dove - dived",isim,B1,,I know how to dive.,Nasıl dalacağımı biliyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,diver,"dalgıç, dalış yapan kimse, dalgıçkuşu",isim,B1,,The divers didn't make it back.,Dalgıçlar geri dönmedi.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,diverse,"çeşit çeşit, türlü, değişik",sıfat,B2,,It is an ethnically diverse school.,"Bu, etnik açıdan farklı bir okul."
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,diversity,"çeşitlilik, değişik tür, çeşit",isim,B2,,There's so much diversity.,Pek çok çeşitlilik var.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,diving,"dalış, pike, dalma",isim,B1,,He is good at diving.,"O, dalmada iyidir."
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,division,"bölme, sınır, tefrika",isim,B2,,What division of the company do you work in?,Şirketin hangi bölümünde çalışıyorsun?
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,do,"etmek, yapmak, did - done",fiil,B1,,I can't do it.,Onu yapamam.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,doc,"doktor, belge, bel",isim,B1,,"""Doc"" is an abbreviation of ""doctor"".","""Doktor"" kelimesinin kısaltması ""Dr."" dir."
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,doctor,"doktor, tahrif etmek, tedavi etmek",isim,A1,,I'm Tom's doctor.,Tom'un doktoruyum.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",doctors,"doktorların ihmalinden öldüğü iddia edilmek, doktorlara yönelik düşüncesini/tavrını vs değiştirmek, doktorların dağılımı",isim,B2,,I don't like doctors.,Doktorları sevmem.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,doing,"faaliyet, yapma, meydana getirme",isim,B1,,I'm doing it now.,Onu şimdi yapıyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,domestic,"iç, evcil, hizmetçi",sıfat,B2,,The horse is a domestic animal.,At evcil bir hayvandır.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,don't,yapılmaması gereken şey,isim,B1,,The investigation highlighted the critical role of don't.,Soruşturma yapılmaması gereken şey kavramının kritik rolünü vurguladı.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,donate,"bağışta bulunmak, bağışlamak, hibe etmek",fiil,B1,,I didn't donate blood.,Kan bağışında bulunmadım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,donating,"bağışlama, bağışta bulunma",isim,B2,,She's donating money for cancer research.,Kanser araştırmaları için para bağışında bulunuyor.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,done,"yapılmış, iyi pişmiş, olmuş",sıfat,B1,,I've done a lot.,Ben çok yaptım.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,door,"kapı, eşik, giriş",isim,A1,,I'll get the door.,Kapıya bakacağım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,dosages,dozaj spektrumu,isim,B2,,The investigation highlighted the critical role of dosages.,Soruşturma dozaj spektrumu kavramının kritik rolünü vurguladı.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,down,"aşağıya doğru, aşağı, alaşağı etmek",edat,B1,,Don't let me down.,Benim yüzümü kara çıkarma.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,draw,"karalamak, çekmek, çizmek",fiil,B1,,I didn't draw this.,Bunu ben çizmedim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,drawing,"çizme, çekme, çizim",isim,B2,,I'm good at drawing.,Ben resim çizmede iyiyim.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,drink,"içmek, içki, drank - drunk",fiil,A1,,I'll fix a drink.,Bir içki hazırlayacağım.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,drive,"sürmek, araba sürmek, dürtü",sıfat,A1,,I can drive a car.,Araba sürebilirim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,driving,"sürme, sevk, sürücü",sıfat,B2,,He is bad at driving.,O araba sürmede kötüdür.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,drop,"düşmek, düşürmek, düşüş",fiil,B1,decline,I won't drop it.,Onu düşürmeyeceğim.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",drug,"ilaç, uyuşturmak, ilaç vermek",isim,B1,medication,It's like a drug.,O bir ilaç gibi.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,due,"vadesi dolmuş, hak vergi, alacak",sıfat,B1,,When is the baby due?,Bebek ne zaman doğacak?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,dull,"donuk, sıkıcı, mat",sıfat,B1,,I have a dull ache here.,Burada künt bir ağrım var.
Kütüphane: Bağlaçlar & Edatlar,Zaman ve Süreç Edatları,during,"zarfında, süresince, sırasında",edat,B1,,Don't talk during class.,Ders esnasında konuşma.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,duty,"görev, vazife, saygı",isim,B1,,I'm not on duty.,Ben görevde değilim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,dwell,"ikamet etmek, dwelt/dwelled - dwelt/dwelled, kalmak",fiil,B1,,I try not to dwell on the past.,Geçmişte yaşamamaya çalışıyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,each,"her biri, herbir, beher",isim,B1,,I like each of them.,Onların ikisini de severim.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,ear,"kulak, başaklanmak, başak",isim,A1,,I'm deaf in one ear.,Bir kulağım sağır.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),early,"erken, erken olan şey, erken olgunlaşan meyve ya da çiçek",zarf,B1,,I know I'm early.,Erken geldiğimi biliyorum.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,earth,"kara, yeryüzü, zemin",isim,A1,,He's down to earth.,O gerçekçidir.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,ease,"rahatlatmak, kolaylaştırmak, rahatlamak",isim,B1,,I felt ill at ease.,Ben huzursuz oldum.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),easily,"rahatlıkla, rahatça, kolayca",zarf,B1,,I don't cry easily.,Kolay kolay ağlamam.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,easy,"rahat, kolay, basit",sıfat,A1,,It won't be easy.,O kolay olmayacak.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,eat,"yemek yemek, yemek, ate - eaten",fiil,A1,,I won't eat it.,Ben onu yemeyeceğim.
