Kelime,Toplam Tekrar Sayısı,Bulunduğu Video Sayısı
unevenness,3,1
politic,3,1
historic,3,1
site,3,1
outlook,3,1
relevance,3,1
suitability,3,1
nutritional,3,1
recovering,3,1
surgical,3,1
geological,3,1
genesis,3,1
generate,3,1
botanical,3,1
sorting,3,1
norms,3,1
norm,3,1
geopolitical,3,1
tensions,3,1
tension,3,1
stress,3,1
legacy,3,1
inheritance,3,1
behavioral,3,1
model,3,1
supplements,3,1
restoration,3,1
trends,3,1
trend,3,1
tendency,3,1
proceed,3,1
blamelessness,3,1
entertain,3,1
entertainment,3,1
start,3,1
begin,3,1
commence,3,1
prior,3,1
puzzle,3,1
confus,3,2
confuse,3,2
suitable,3,1
incline,3,1
cheer,3,1
discussion,3,1
visitor,3,1
host,3,1
initially,3,1
beginning,3,1
yeah,3,3
however,3,1
overtime,3,1
stable,3,1
unchange,3,1
changed,3,1
convincing,3,1
indispensable,3,1
allow,3,1
let,3,1
permit,3,1
unexpect,3,1
expected,3,1
progressed,3,1
grew,3,1
longer,3,1
began,3,1
while,3,1
waiting,3,1
roller,3,1
coaster,3,1
hit,3,1
boats,3,1
went,3,1
harbor,3,1
leaving,3,1
whereabouts,3,1
rest,3,1
creating,3,1
wherever,3,1
goes,3,1
party,3,1
started,3,1
broke,3,1
guests,3,1
learning,3,1
piano,3,1
becomes,3,1
opinion,3,1
remained,3,1
clearer,3,1
solving,3,1
attractive,3,1
charming,3,1
jogging,3,1
job,3,1
desperate,3,1
gloomy,3,1
wife,3,1
wives,3,1
knife,3,1
knives,3,1
leaf,3,1
leaves,3,1
state,3,1
statement,3,1
clarification,3,1
please,3,1
satisfy,3,1
sensible,3,1
logical,3,1
cloud,3,1
rainy,3,1
windy,3,1
sunny,3,1
fog,3,1
foggy,3,1
snow,3,1
snowy,3,1
magic,3,1
magician,3,1
mysterious,3,1
scene,3,1
trick,3,1
cheat,3,1
petty,3,1
tiny,3,1
domestic,3,1
wild,3,1
disgusting,3,1
terrible,3,1
horrible,3,1
sip,3,1
seasoned,3,1
spiced,3,1
coverage,3,1
sedate,3,1
sedative,3,1
calming,3,1
robust,3,1
scary,3,1
appalling,3,1
nights,3,1
especially,3,1
sings,3,1
cake,3,1
creamy,3,1
tastes,3,1
added,3,1
peppers,3,1
flowers,3,1
fragrant,3,1
kitchen,3,1
smells,3,1
spoiled,3,1
washing,3,1
anxio,3,1
giving,3,1
magician's,3,1
tricks,3,1
appeared,3,1
appears,3,1
morning,3,1
seemed,3,1
paintings,3,1
surprise,3,1
confusing,3,1
scare,3,1
cheerful,3,1
cheery,3,1
entertained,3,1
intensity,3,1
humor,3,1
highly,3,1
exceptionally,3,1
viewer,3,1
interrupt,3,1
intervene,3,1
interruption,3,1
buddy,3,1
homemate,3,1
classmate,3,1
roommate,3,1
dmate,3,1
mosque,3,1
progressively,3,1
abrupt,3,1
bewildered,3,1
alteration,3,1
alter,3,1
street,3,1
neighborhood,3,1
village,3,1
globe,3,1
disappear,3,1
vanish,3,1
airline,3,1
coming,3,1
letter,3,1
digital,3,1
streets,3,1
puzzling,3,1
buzzling,3,1
irritating,3,1
tried,3,1
interruptions,3,1
irritated,3,1
comedian's,3,1
eliciting,3,1
storytelling,3,1
skills,3,1
consuming,3,1
introduce,3,1
tedious,3,1
dull,3,1
repeat,3,1
recurrent,3,1
repetitious,3,1
workshop,3,1
employer,3,1
film,3,1
fergon,3,1
horrified,3,1
vision,3,1
horrifying,3,1
classroom,3,1
monotonous,3,1
book,3,1
activities,3,1
tasks,3,1
short,3,1
theater,3,1
frightened,3,1
exhibited,3,1
significantly,3,1
cellular,3,1
panels,3,1
fossil,3,1
comparing,3,1
contamination,3,1
existing,3,1
motionless,3,1
classic,3,1
rely,3,1
depend,3,1
certain,3,1
particular,3,1
containment,3,1
unfinished,3,1
focalize,3,1
bias,3,1
prejudgment,3,1
retributive,3,1
educational,3,1
focused,3,1
empy,3,1
measures,3,1
media,3,1
suggesting,3,1
bigger,3,1
depression,3,1
interactions,3,1
workplaces,3,1
shown,3,1
relying,3,1
compliments,3,1
receiving,3,1
reported,3,1
quicker,3,1
undergoing,3,1
therapies,3,1
lifestyle,3,1
alternatives,3,1
remote,3,1
cavity,3,1
core,3,1
huge,3,1
colossal,3,1
gigantic,3,1
tidy,3,1
optimum,3,1
interference,3,1
accomplished,3,1
verify,3,1
helpless,3,1
obstruct,3,1
background,3,1
bring,3,1
unite,3,1
combine,3,1
olympic,3,1
games,3,1
sporting,3,1
bringing,3,1
athletes,3,1
backgrounds,3,1
cultures,3,1
remains,3,1
preventing,3,1
combined,3,1
maintaining,3,1
quantum,3,1
computing,3,1
represents,3,1
computational,3,1
galaxy,3,1
celestial,3,1
object,3,1
galaxies,3,1
newly,3,1
discovered,3,1
astronomers,3,1
connection,3,1
parallel,3,1
equal,3,1
unparallel,3,1
dat,3,1
relaxation,3,1
target,3,1
goal,3,1
intend,3,1
purchasable,3,1
rich,3,1
wealthy,3,1
either,3,1
neither,3,1
nor,3,1
reformist,3,1
reformer,3,1
modernist,3,1
qualified,3,1
training,3,1
schooling,3,1
nourishing,3,1
opportunity,3,1
chance,3,1
luck,3,1
strengthen,3,1
future,3,1
leaders,3,1
innovators,3,1
environments,3,1
opportunities,3,1
benefiting,3,1
networks,3,1
crisis,3,1
internet,3,1
making,3,1
connectivity,3,1
stretch,3,1
reachability,3,1
cover,3,1
independent,3,1
dependent,3,1
independence,3,1
definitely,3,1
manager,3,1
director,3,1
governor,3,1
reject,3,1
refuse,3,1
deny,3,1
suggestion,3,1
recommendation,3,1
collected,3,1
examination,3,1
swiftly,3,1
quickly,3,1
competence,3,1
revolve,3,1
convert,3,1
attentively,3,1
cautiously,3,1
managing,3,1
chronic,3,1
ensuring,3,1
transforming,3,1
blind,3,1
apps,3,1
empowering,3,1
aware,3,1
beware,3,1
dispute,3,1
efficiently,3,1
influentially,3,1
potently,3,1
susceptible,3,1
considerate,3,1
involved,3,1
tentative,3,1
emprical,3,1
precise,3,1
absolute,3,1
perfect,3,1
measurement,3,1
measuring,3,1
evaluation,3,1
compile,3,1
orderly,3,1
secure,3,1
dependable,3,1
credible,3,1
luckily,3,1
unfortunately,3,1
unluckily,3,1
enhancement,3,1
promise,3,1
steadily,3,1
properly,3,1
modernized,3,1
surrender,3,1
maintenance,3,1
nursing,3,1
optimium,3,1
intellectually,3,1
scholarly,3,1
cleverly,3,1
smartly,3,1
electricity,3,1
fund,3,1
monetize,3,1
resource,3,1
shortterm,3,1
peripheral,3,1
renewable,3,1
homes,3,1
businesses,3,1
professionals,3,1
evidencebased,3,1
led,3,1
investigations,3,1
obtaining,3,1
measurements,3,1
awareness,3,1
positive,3,1
regional,3,1
territorial,3,1
goodness,3,1
fairly,3,1
circle,3,1
confidence,3,1
reliance,3,1
cooperative,3,1
consciously,3,1
intentionally,3,1
purposely,3,1
likely,3,1
searcher,3,1
barrier,3,1
obstacle,3,1
mantle,3,1
fair,3,1
defend,3,1
sample,3,1
soldier,3,1
warrior,3,1
gently,3,1
kindly,3,1
politely,3,1
nicely,3,1
tank,3,1
soldiers,3,1
psychology,3,1
chip,3,1
examining,3,1
anomalies,3,1
paving,3,1
discoveries,3,1
activists,3,1
tirelessly,3,1
systemic,3,1
barriers,3,1
equaly,3,1
conducted,3,1
applications,3,1
nanotechnology,3,1
transparency,3,1
addressing,3,1
collective,3,1
es,3,3
uncertain,3,1
vague,3,1
unclear,3,1
ambigious,3,1
sometimes,3,1
sensual,3,1
sentimental,3,1
unsuitable,3,1
improper,3,1
olive,3,1
sunflower,3,1
emerge,3,1
every,3,1
reverse,3,1
expertness,3,1
specialty,3,1
adulthood,3,1
top,3,1
upper,3,1
superior,3,1
variable,3,1
factor,3,1
assess,3,1
evaluate,3,1
appraise,3,1
worth,3,1
price,3,1
paul,3,1
utter,3,1
disturbance,3,1
defect,3,1
gray,3,1
transnational,3,1
survive,3,1
survivor,3,1
accomplishment,3,1
donate,3,1
upon,3,1
suicide,3,1
onc,3,1
discovering,3,1
falling,3,1
seed,3,1
oils,3,1
lowering,3,1
ldl,3,1
arise,3,1
effects,3,1
medics,3,1
hardships,3,1
behaviors,3,1
variables,3,1
assessing,3,1
great,3,1
disturbances,3,1
iss,3,1
putting,3,1
table,3,1
predictions,3,1
donating,3,1
organs,3,1
cheap,3,1
enlarge,3,1
expel,3,1
repel,3,1
dismiss,3,1
unfavorable,3,1
require,3,1
necessitate,3,1
simple,3,1
required,3,1
wander,3,1
route,3,1
path,3,1
soul,3,1
une,3,1
chemist,3,1
pharmacist,3,1
maybe,3,1
gradual,3,1
eat,3,1
hurt,3,1
detrimental,3,1
quiz,3,1
capture,3,1
conquer,3,1
seas,3,1
late,3,1
energies,3,1
living,3,1
going,3,1
explored,3,1
chemists,3,1
gradually,3,1
alcohol,3,1
consumed,3,1
developed,3,1
iq,3,1
tests,3,1
carried,3,1
turkey,3,1
captured,3,1
satellite,3,1
cameras,3,1
transmit,3,1
convey,3,1
recognize,3,1
clue,3,1
hint,3,1
trace,3,1
detailed,3,1
qu,3,1
enigma,3,1
belonging,3,1
stuff,3,1
goods,3,1
multicultural,3,1
infant,3,1
baby,3,1
medicate,3,1
private,3,1
fruitful,3,1
productive,3,1
humid,3,1
wet,3,1
moist,3,1
general,3,1
usually,3,1
datam,3,1
restlessness,3,1
semester,3,1
biting,3,1
infants,3,1
treated,3,1
elements,3,1
eaten,3,1
paying,3,1
releasing,3,1
spider,3,1
establishing,3,1
panel,3,1
clues,3,1
meter,3,1
lose,3,1
losing,3,1
mix,3,1
yogurt,3,1
belongings,3,1
distinct,3,1
leather,3,1
capillary,3,1
vein,3,1
grave,3,1
existed,3,1
mark,3,1
sing,3,1
gate,3,1
less,3,1
bleed,3,1
injury,3,1
medium,3,1
female,3,1
cool,3,1
boiling,3,1
expectation,3,1
press,3,1
defined,3,1
severe,3,1
youth,3,1
teenage,3,1
characterize,3,1
diagnostic,3,1
characterization,3,1
bear,3,1
pear,3,1
beer,3,1
headlight,3,1
headlamp,3,1
dating,3,1
us,3,1
invented,3,1
devices,3,1
ago,3,1
km,3,1
expectations,3,1
hiding,3,1
levels,3,1
sedation,3,1
clouds,3,1
underneath,3,1
allied,3,1
forces,3,1
white,3,1
europeans,3,1
disabled,3,1
nile,3,1
banks,3,1
supplying,3,1
photosynthesis,3,1
flowing,3,1
arteries,3,1
polar,3,1
bears,3,1
wide,3,1
spreading,3,1
daytime,3,1
months,3,1
headlights,3,1
tunnel,3,1
attitude,3,1
barrage,3,1
practical,3,1
practicality,3,1
endeavor,3,1
heating,3,1
protest,3,1
objection,3,1
government,3,1
administration,3,1
management,3,1
accept,3,1
restrict,3,1
confine,3,1
limited,3,1
confined,3,1
totally,3,1
holy,3,1
boundary,3,1
border,3,1
request,3,1
tutor,3,1
instructor,3,1
trainer,3,1
jump,3,1
bounce,3,1
hop,3,1
skip,3,1
interest,3,1
select,3,1
light,3,1
bowl,3,1
alongside,3,1
healthful,3,1
flavor,3,1
sensation,3,1
iwitness,3,1
disappoint,3,1
frustrate,3,1
disappointed,3,1
frustrated,3,1
frustration,3,1
accommodation,3,1
porch,3,1
shield,3,1
timber,3,1
wood,3,1
lumber,3,1
trunk,3,1
branch,3,1
string,3,1
rving,3,1
will,3,1
sheep,3,1
lamb,3,1
goat,3,1
readily,3,1
slope,3,1
users,3,1
decision,3,1
authority,3,1
goats,3,1
climbing,3,1
opposite,3,1
timbers,3,1
palm,3,1
front,3,1
witnesses,3,1
what,3,1
curtain,3,1
keeping,3,1
located,3,1
near,3,1
streams,3,1
rivers,3,1
placing,3,1
tube,3,1
containers,3,1
jumping,3,1
window,3,1
troubles,3,1
experienced,3,1
let's,3,1
limits,3,1
protests,3,1
british,3,1
we're,3,1
loaded,3,1
trucks,3,1
towns,3,1
cities,3,1
attitudes,3,1
dams,3,1
shore,3,1
beach,3,1
seashore,3,1
functioning,3,1
operating,3,1
rough,3,1
scan,3,1
thrill,3,1
weaver,3,1
presence,3,1
complicated,3,1
firm,3,1
misuse,3,1
habit,3,1
routine,3,1
evil,3,1
theory,3,1
hypothesis,3,1
immediate,3,1
momentary,3,1
delay,3,1
postpone,3,1
hold,3,1
hazard,3,1
failure,3,1
setback,3,1
defeat,3,1
insufficient,3,1
inefficient,3,1
inadequate,3,1
staff,3,1
rates,3,1
apart,3,1
cabin,3,1
fruits,3,1
risks,3,1
including,3,1
glassies,3,1
failures,3,1
excluding,3,1
marketing,3,1
delayed,3,1
habits,3,1
smoking,3,1
relativity,3,1
investigated,3,1
cases,3,1
founding,3,1
hasn't,3,1
seen,3,1
scanning,3,1
literature,3,1
gathering,3,1
experiencing,3,1
getting,3,1
i'm,3,1
weekend,3,1
benefical,3,1
ingredient,3,1
function,3,1
transportation,3,1
carrying,3,1
constitutes,3,1
adult's,3,1
plays,3,1
physiological,3,1
hydration,3,1
regulation,3,1
transport,3,1
incessantly,3,1
shape,3,1
advances,3,1
options,3,1
breast,3,1
forms,3,1
greenhouse,3,1
emissions,3,1
leads,3,1
impacts,3,1
climate,3,1
governments,3,1
trying,3,1
ways,3,1
striking,3,1
notable,3,1
adapt,3,1
adjust,3,1
adaptable,3,1
adjustable,3,1
preventive,3,1
adaptive,3,1
nature,3,1
preserve,3,1
guard,3,1
want,3,1
desire,3,1
wanted,3,1
desired,3,1
undesired,3,1
item,3,1
enters,3,1
stick,3,1
exterminate,3,1
eradicate,3,1
charm,3,1
attract,3,1
extraordinary,3,1
listener,3,1
impression,3,1
impress,3,1
impressive,3,1
personality,3,1
jacket,3,1
torn,3,1
mozart,3,1
continues,3,1
mosar,3,1
continued,3,1
audiences,3,1
composer,3,1
figures,3,1
classical,3,1
european,3,1
ages,3,1
symptom,3,1
indication,3,1
trigger,3,1
launch,3,1
respose,3,1
patient's,3,1
indicative,3,1
inflammatory,3,1
pyogens,3,1
compete,3,1
rival,3,1
express,3,1
limitation,3,1
constraint,3,1
each,3,1
limitations,3,1
kusura,3,3
itibaren,3,3
birincisi,3,2
listelerine,3,2
ekstra,3,2
sorun,3,3
bilgiyi,3,3
listeyi,3,2
sene,3,3
oradaki,3,2
yetmedi,3,2
sizlerin,3,2
etti,3,2
seriyi,3,2
beklenti,3,1
gelir,3,2
elde,3,3
niye,3,2
haftalarca,3,2
motivasyon,3,3
serinin,3,2
ilerle,3,1
ifade,3,2
yaparsan,3,1
neredesin,3,2
neresi,3,2
oraya,3,2
dur,3,2
nereden,3,2
sistematik,3,3
bununla,3,2
gerektiriyor,3,1
vaktim,3,2
yapmaya,3,3
olmuyor,3,2
haricinde,3,2
bunlardan,3,2
izlemelisin,3,1
maksimum,3,2
ye,3,2
edat,3,2
geriye,3,1
mutlaka,3,3
izlemeye,3,3
gir,3,3
garanti,3,2
gerekmiyor,3,2
yorumlardan,3,3
yerden,3,2
girmen,3,1
lisans,3,1
akademik,3,3
teknik,3,1
benzeri,3,1
neyse,3,2
alan,3,2
herkes,3,2
internette,3,1
nefret,3,2
tan,3,2
sistem,3,3
hala,3,3
ise,3,2
ini,3,3
ertesi,3,1
kendinizi,3,1
orta,3,2
mutlu,3,2
youtube'da,3,2
daim,3,2
emanet,3,3
kim,3,2
ilham,3,1
dilde,3,1
beraber,3,2
dinledim,3,2
sistemimiz,3,2
puanla,3,1
serisiyle,3,2
yerine,3,2
bilgiler,3,2
bekliyorum,3,2
bilgi,3,2
oluyorlar,3,2
para,3,2
harcama,3,1
elinize,3,1
bizlere,3,1
temmuz,3,1
amin,3,2
hocay,3,2
derslerim,3,2
kaynak,3,2
zamanlar,3,2
tuttum,3,2
uzun,3,2
kabul,3,2
herhangi,3,2
sorulara,3,2
sesinizle,3,2
yetiyor,3,2
olursa,3,2
nerelere,3,1
dala,3,1
korusun,3,1
yds'den,3,1
seviyem,3,1
temelim,3,1
birinin,3,1
eksik,3,1
sonucumu,3,1
seninle,3,1
life,2,1
carbs,2,1
still,2,1
foma,2,1
ear,2,1
dietician,2,1
aoid,2,1
psychological,2,1
compliment,2,2
disuss,2,1
yet,2,1
trkking,2,1
track,2,1
cal,2,1
relaxing,2,1
lullab,2,1
presentations,2,1
seam,2,2
handri,2,1
toown,2,1
seide,2,1
boore,2,1
ure,2,1
capabilities,2,1
healthcare,2,1
independently,2,1
thrust,2,1
worthy,2,1
quence,2,2
healthc,2,1
analyist,2,2
amb,2,1
un,2,2
astrophysics,2,1
inconvenient,2,1
imp,2,2
grownup,2,1
atj,2,1
experiences,2,1
neurosc,2,1
things,2,1
said,2,1
forell,2,1
functional,2,1
fauna,2,1
oock,2,1
capillaries,2,1
six,2,1
di,2,2
tumor,2,1
lea,2,1
aside,2,1
cuity,2,1
corporation,2,1
suspend,2,1
yes,2,1
bileyim,2,1
sorunun,2,2
kalacak,2,2
artmaya,2,2
ediyorsan,2,2
ekran,2,2
diyoruz,2,1
peki,2,1
sayfama,2,1
diyeyim,2,2
buradan,2,1
kafam,2,2
diyorsun,2,2
dikkatlice,2,2
yerde,2,1
yarar,2,1
kurgusunu,2,1
idrak,2,1
vererek,2,2
sistemle,2,2
bitmez,2,1
hata,2,2
biliyor,2,1
birisi,2,2
itibariyla,2,2
x'te,2,1
istiyorsun,2,2
maddi,2,1
beklemeden,2,2
etmiyorum,2,1
hitap,2,2
ederse,2,1
oluyorsunuz,2,2
depremden,2,1
gelene,2,2
buldum,2,2
posta,2,2
zin,2,1
filan,2,1
gece,2,1
kimseyi,2,1
yar,2,1
ait,2,1
zorluk,2,2
neticede,2,2
gerekmez,2,1
izliyorsun,2,1
bitti,2,2
olurken,2,2
listesinde,2,1
sizde,2,2
tekrarla,2,2
yoldan,2,1
yayarak,2,2
tamamlaya,2,1
ilerletmeye,2,2
vallahi,2,2
almadan,2,1
online,2,2
binlerce,2,2
lira,2,2
tabiri,2,2
caizse,2,2
neredeydi,2,1
gerekir,2,1
herkesin,2,2
eder,2,2
ayda,2,2
diyen,2,2
etmezsen,2,2
ifadelerle,2,2
vesair,2,2
geldin,2,2
muhtemelen,2,2
hedefler,2,1
gidiyor,2,2
minimum,2,2
grubu,2,2
olaraktan,2,2
ihtimallerin,2,1
dinle,2,2
serisinin,2,2
ister,2,1
ezberleme,2,2
dan,2,2
analizi,2,2
yapan,2,2
sorusunu,2,1
detay,2,1
gerekli,2,2
soruyorlar,2,1
yan,2,1
hedefin,2,1
verecektim,2,1
kesin,2,2
herhalde,2,2
noktada,2,2
antakya,2,2
hayal,2,2
geri,2,2
eskisi,2,2
hikayeni,2,2
bay,2,1
ikincisi,2,1
arkana,2,2
yaslan,2,2
anlatmaya,2,2
ik,2,2
web,2,1
sitesine,2,1
oku,2,2
elle,2,1
fenden,2,2
amma,2,1
lakin,2,1
sonuna,2,2
ona,2,2
mesajlar,2,2
verebilirsin,2,1
denemeleri,2,2
hepsine,2,2
kullana,2,1
kafan,2,1
lisede,2,2
beden,2,1
alana,2,2
azami,2,1
etkili,2,1
sistemin,2,2
ekstradan,2,1
edeyim,2,2
kenara,2,1
izlersen,2,1
bilgilerin,2,2
bilgileri,2,2
zorlamak,2,1
sona,2,2
edeceksiniz,2,2
olanlara,2,1
unu,2,2
hocalar,2,1
bahsediyorlar,2,1
incelemek,2,1
oturdun,2,1
phrasal,2,2
onlar,2,2
koydun,2,1
sende,2,2
tamamlama,2,1
bilmem,2,2
tanesini,2,2
seviyeye,2,2
almaya,2,2
zamanla,2,2
insanlar,2,2
deki,2,1
amcalar,2,1
oldum,2,2
hekim,2,2
sisteminde,2,1
okuyup,2,2
kurslara,2,1
yapabilirim,2,2
hayat,2,1
tekrarlarla,2,1
oturtmak,2,1
duyuru,2,1
dediklerini,2,2
dilerim,2,1
fatma,2,1
ngilizceyile,2,1
aram,2,1
seferinde,2,2
yazmadan,2,2
derslerden,2,1
genelde,2,2
setlerine,2,1
yorumum,2,2
listeden,2,2
videoya,2,2
beri,2,2
pek,2,2
derslerin,2,2
ngilizcenin,2,2
yerler,2,1
parantez,2,2
ngilizceden,2,2
gelsin,2,1
dinleme,2,1
bahsediyorum,2,2
relative,2,1
kez,2,2
gramer,2,2
oturan,2,1
etmeyin,2,2
ngilizcede,2,2
toplam,2,1
dinleyerek,2,2
ediyor,2,2
ilmek,2,1
videolarda,2,1
serilerini,2,2
yazan,2,1
instagram'a,2,2
pardon,2,1
la,2,1
zordu,2,2
okurken,2,2
olmam,2,2
birinden,2,2
ramazanlar,2,2
gerekiyordu,2,2
defteri,2,2
videolara,2,2
zihnimde,2,1
hikaye,2,2
maalesef,2,2
seviyede,2,2
puanlara,2,2
hikayelerini,2,2
mart,2,1
leri,2,1
sol,2,1
ekrana,2,1
idare,2,1
destekte,2,1
ebrar,2,1
edip,2,1
yorumu,2,1
olurdu,2,1
bende,2,1
mail,2,1
denemelerde,2,1
durmak,2,1
konusunda,2,1
eksilme,2,1
verip,2,1
soruyu,2,1
anlamaya,2,1
saniye,2,1
deyip,2,1
kanal,2,1
gramerden,2,1
seher,2,1
vadedici,2,1
eminim,2,1
ezberi,2,1
dersler,2,1
beyza,2,1
bizimle,2,1
istifade,2,1
durumda,2,1
etmeye,2,1
hallettim,2,1
ramazan,2,1
gibiydi,2,1
ta,2,1
belgesini,2,1
paydada,2,1
tutun,2,1
stres,2,1
stifade,2,1
tempoyla,2,1
rica,2,1
kat,2,1
gani,2,1
ekrandan,2,1
izleyene,2,1
ilgilenme,2,1
bulun,2,1
innov,1,1
ative,1,1
aritex,1,1
approxim,1,1
forestation,1,1
men,1,1
bus,1,1
fomina,1,1
you're,1,1
dietitian,1,1
excess,1,1
ofa,1,1
psycholog,1,1
ical,1,1
rehab,1,1
abilitation,1,1
gen,1,1
trekking,1,1
trek,1,1
suding,1,1
reling,1,1
suting,1,1
lullabies,1,1
ations,1,1
cl,1,1
mate,1,1
handren,1,1
oldtown,1,1
employ,1,1
rout,1,1
ob,1,1
tain,1,1
spe,1,1
advise,1,1
iy,1,1
matx,1,1
vention,1,1
substan,1,1
stantial,1,1
apprach,1,1
why,1,1
independ,1,1
ly,1,1
stud,1,1
trustworthy,1,1
consequ,1,1
comm,1,1
fis,1,1
fes,1,1
physes,1,1
ch,1,1
conf,1,1
isly,1,1
ambolyn,1,1
concealed,1,1
astro,1,1
physics,1,1
grown,1,1
neuroschistosomiasis,1,1
proove,1,1
forel,1,1
manufacturer,1,1
manfacture,1,1
abate,1,1
nega,1,1
dam,1,1
multifunctional,1,1
poison,1,1
quar,1,1
faa,1,1
leure,1,1
cap,1,1
aries,1,1
fur,1,1
tumors,1,1
lorry,1,1
char,1,1
manufactur,1,1
leave,1,1
wereing,1,1
beside,1,1
corpor,1,1
coration,1,1
eight,1,1
suspense,1,1
ific,1,1
mivial,1,1
height,1,1
affect,1,1
yas,1,1
conse,1,1
axe,1,1
yerdesin,1,1
kafana,1,1
cevaplama,1,1
arkadaki,1,1
perde,1,1
fonun,1,1
ses,1,1
kalitesinden,1,1
bakma,1,1
ihtiva,1,1
si,1,1
neresine,1,1
laptopun,1,1
bilgisayar,1,1
kullanman,1,1
diyenlerin,1,1
sahne,1,1
mucize,1,1
gerekecek,1,1
konuyu,1,1
dilersen,1,1
kalemini,1,1
listede,1,1
pencere,1,1
giren,1,1
birisini,1,1
youtube'u,1,1
gidiyorum,1,1
giriyorum,1,1
kanala,1,1
hangileri,1,1
ilgilendiriyor,1,1
edebilirsin,1,1
demezsiniz,1,1
soruluyor,1,1
ekranda,1,1
durdurdum,1,1
reklam,1,1
indiriyorum,1,1
ndiriyorum,1,1
bitiyor,1,1
tens,1,1
klad,1,1
telifs,1,1
yemin,1,1
ettikten,1,1
yetecek,1,1
aradaki,1,1
yd,1,1
s'leri,1,1
serilerin,1,1
rastgele,1,1
olumlu,1,1
beklentiyle,1,1
efektif,1,1
alabilir,1,1
miyiz,1,1
bitmeyecek,1,1
oralarda,1,1
kaybolursun,1,1
aya,1,1
kafamdaki,1,1
nitelikte,1,1
birazdan,1,1
ekledim,1,1
halinde,1,1
yapay,1,1
zekayla,1,1
teklif,1,1
gecesini,1,1
neden,1,1
vicdanen,1,1
kendinde,1,1
ara,1,1
dediklerimi,1,1
kar,1,1
ptt,1,1
kargoya,1,1
videomu,1,1
okuyorsan,1,1
okuyarak,1,1
elin,1,1
hissedecek,1,1
beynin,1,1
izleyeceksin,1,1
depreminde,1,1
denizli'ye,1,1
gittik,1,1
kendimize,1,1
haziran,1,1
sonu,1,1
projeye,1,1
beklemedim,1,1
alp,1,1
kalkman,1,1
atman,1,1
laptop'un,1,1
defalarca,1,1
kullanmak,1,1
mahkemeye,1,1
verdiklerini,1,1
izinsiz,1,1
dediler,1,1
silinmek,1,1
kitle,1,1
motivasyonumu,1,1
hikayeyle,1,1
demeden,1,1
saatlerine,1,1
bakabilirsiniz,1,1
ler,1,1
birlerde,1,1
yolda,1,1
hallettik,1,1
ab,1,1
kurgulamak,1,1
kafa,1,1
yordum,1,1
serdim,1,1
okud,1,1
um,1,1
algoritma,1,1
strateji,1,1
odaklan,1,1
sorusu,1,1
senlik,1,1
videonun,1,1
serini,1,1
istiyorsan,1,1
alanla,1,1
hocalardan,1,1
geceni,1,1
katarak,1,1
araj,1,1
yutup,1,1
girsen,1,1
listesinden,1,1
nereleri,1,1
girdin,1,1
haneye,1,1
bozuldu,1,1
gelemiyor,1,1
gittin,1,1
sonundaki,1,1
parta,1,1
geldikten,1,1
neresiyse,1,1
durdun,1,1
sonucunu,1,1
matematikte,1,1
deneysel,1,1
ifadelerde,1,1
eksikleri,1,1
olaya,1,1
ezilirsin,1,1
yarayacak,1,1
format,1,1
kafamda,1,1
temellerini,1,1
serileriyle,1,1
zahmetsiz,1,1
seti,1,1
inatla,1,1
dibe,1,1
neredeydin,1,1
profesyonel,1,1
tavsiyelere,1,1
kulak,1,1
san,1,1
gelmek,1,1
ilerlemeye,1,1
ana,1,1
haftaya,1,1
sondaki,1,1
resme,1,1
senen,1,1
kalksan,1,1
etraftaki,1,1
bireyden,1,1
bireye,1,1
diyemem,1,1
bilginin,1,1
dersim,1,1
beklemesin,1,1
vakt,1,1
saatte,1,1
kitledin,1,1
bekliyor,1,1
fizikte,1,1
kural,1,1
feragat,1,1
olmayacak,1,1
eler,1,1
geliyorsunuz,1,1
tenkit,1,1
ismini,1,1
ilerleyeceksiniz,1,1
dersini,1,1
gelmeye,1,1
tamamlanacak,1,1
bilgin,1,1
kaydedip,1,1
kurgu,1,1
pozisyonunda,1,1
kalibresinde,1,1
birini,1,1
hangisini,1,1
dakikayla,1,1
saatin,1,1
yemek,1,1
dakikadan,1,1
yaparaktan,1,1
oturt,1,1
indirmeye,1,1
ilerleyin,1,1
ayriyeten,1,1
partlar,1,1
alt,1,1
izlenmeli,1,1
zih,1,1
zihnini,1,1
zihninin,1,1
paralama,1,1
ezberleyememe,1,1
titizlikle,1,1
sindirebilirim,1,1
totalde,1,1
hesap,1,1
gerektirir,1,1
kalkmadan,1,1
parala,1,1
brahim'le,1,1
inceleyebilir,1,1
edebildik,1,1
soruda,1,1
ekle,1,1
trve,1,1
kitaba,1,1
setine,1,1
izleyeyim,1,1
incelerken,1,1
tensi,1,1
edatlar,1,1
benzer,1,1
soracaklar,1,1
uzaydan,1,1
indirmiyor,1,1
yapmal,1,1
yapamaz,1,1
atanlara,1,1
gelenler,1,1
gelmiyor,1,1
husus,1,1
deyin,1,1
gitti,1,1
gelirse,1,1
oturarak,1,1
terledim,1,1
ter,1,1
beklemiyorum,1,1
vermeni,1,1
mesleki,1,1
kariyerinde,1,1
faydam,1,1
dokulsun,1,1
boyu,1,1
etmeyi,1,1
bizler,1,1
depremi,1,1
unut,1,1
bizleri,1,1
beklemiyoruz,1,1
gecede,1,1
memleketinizi,1,1
terk,1,1
incir,1,1
arabayla,1,1
arabada,1,1
