Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
B1-B2 Sık Çıkan Akademik Sıfatlar,digital,"dijital, tuş, parmağa ait",sıfat,B2,,Can I borrow your digital camera tonight?,Bu gece senin dijital kameranı ödünç alabilir miyim?
B1-B2 Sık Çıkan Akademik Sıfatlar,diminish,"azalmak, eksiltmek, hafifletmek",sıfat,B2,"decrease, reduce, lessen, decline",The rights of every man are diminished when the rights of one man are threatened.,"Bir insanın haklarının tehdit edildiğinde, her insanın hakları azaltılır."
B1-B2 Sık Çıkan Akademik Sıfatlar,direct,"yönlendirmek, yöneltmek, yönetmek",sıfat,B1,,Is it a direct flight?,O bir direkt uçuş mu?
B1-B2 Sık Çıkan Akademik Sıfatlar,disabled,"engelli, özürlü, etkisiz kılınmış",sıfat,B2,,That poor lady is disabled.,Şu zavallı kadın engelli.
C1 İleri Niteleme Sıfatları,disappointed,"hayal kırıklığına uğramış, hüsrana uğramış, hayal kırıklığı uğramış",sıfat,C1,,I'm disappointed in you.,Senin hayal kırıklığına uğrattım.
B1-B2 Sık Çıkan Akademik Sıfatlar,discussed,"görüşülmüş, tartışılmış",sıfat,B2,,I discussed it with Tom.,Onu Tom'la tartıştım.
C1 İleri Niteleme Sıfatları,disgusting,"tiksindirici, iğrenç, çirkef",sıfat,C1,,I think it's disgusting.,Bunun iğrenç olduğunu düşünüyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,distant,"uzakta, uzak, mesafeli",sıfat,B2,,Why are you being so distant?,Neden bu kadar samimiyetsiz davranıyorsun?
B1-B2 Sık Çıkan Akademik Sıfatlar,distinct,"belirgin, seçik, şüphesiz",sıfat,B2,,That's a distinct possibility.,Bu ayrı bir olasılık.
B1-B2 Sık Çıkan Akademik Sıfatlar,diverse,"çeşit çeşit, türlü, değişik",sıfat,B2,,It is an ethnically diverse school.,"Bu, etnik açıdan farklı bir okul."
B1-B2 Sık Çıkan Akademik Sıfatlar,domestic,"iç, evcil, hizmetçi",sıfat,B2,,The horse is a domestic animal.,At evcil bir hayvandır.
B1-B2 Sık Çıkan Akademik Sıfatlar,done,"yapılmış, iyi pişmiş, olmuş",sıfat,B1,,I've done a lot.,Ben çok yaptım.
B1-B2 Sık Çıkan Akademik Sıfatlar,driving,"sürme, sevk, sürücü",sıfat,B2,,He is bad at driving.,O araba sürmede kötüdür.
B1-B2 Sık Çıkan Akademik Sıfatlar,due,"vadesi dolmuş, hak vergi, alacak",sıfat,B1,,When is the baby due?,Bebek ne zaman doğacak?
B1-B2 Sık Çıkan Akademik Sıfatlar,dull,"donuk, sıkıcı, mat",sıfat,B1,,I have a dull ache here.,Burada künt bir ağrım var.
Akademik Zarflar (-ly / Derece),early,"erken, erken olan şey, erken olgunlaşan meyve ya da çiçek",zarf,B1,,I know I'm early.,Erken geldiğimi biliyorum.
Akademik Zarflar (-ly / Derece),easily,"rahatlıkla, rahatça, kolayca",zarf,B1,,I don't cry easily.,Kolay kolay ağlamam.
B1-B2 Sık Çıkan Akademik Sıfatlar,eaten,"yenmiş, yenilmiş",sıfat,B1,,I haven't eaten yet.,Henüz yemek yemedim.
B1-B2 Sık Çıkan Akademik Sıfatlar,eating,"yeme, yiyim, yemek",sıfat,B1,,I'm eating a pear.,Bir armut yiyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,ecologic,"ekolojik, bir çevredeki canlı organizmaların birbirine bağımlılığıyla ifade edilen",sıfat,B2,,The empirical results of the study were remarkably ecologic.,Çalışmanın ampirik sonuçlarının son derece ekolojik olduğu görüldü.
C1 İleri Niteleme Sıfatları,ecological,"çevre, çevrebilimsel, ekolojik",sıfat,C1,,The world's tropical rainforests are critical links in the ecological chain of life on the planet.,"Dünyadaki tropikal yağmur ormanları, gezegende yaşamın ekolojik zincirine kritik bağlantılıdır."
B1-B2 Sık Çıkan Akademik Sıfatlar,economic,"ekonomik, iktisadi, hesaplı",sıfat,B2,,It doesn't make economic sense.,Ekonomik açıdan anlamsız.
C1 İleri Niteleme Sıfatları,educational,"eğitsel, eğitimsel, eğitici",sıfat,C1,,I found the field trip very educational.,Saha gezisini çok eğitici buldum.
B1-B2 Sık Çıkan Akademik Sıfatlar,effective,"efektif, etkileyici, etkili",sıfat,B2,,I wasn't very effective.,Çok etkili değildim.
Akademik Zarflar (-ly / Derece),effectively,"etkili bir şekilde, etkileyici, etkin olarak",zarf,C1,,"Last year, I spent so much time by myself that I almost forgot how to communicate effectively with others.",Geçen yıl tek başıma o kadar uzun bir zaman geçirdim ki diğerleriyle etkili şekilde nasıl iletişim kuracağımı neredeyse unuttum.
B1-B2 Sık Çıkan Akademik Sıfatlar,efficient,"etkili, liyakatli, verimli",sıfat,B2,,I think I was efficient.,Sanırım verimliydim.
Akademik Zarflar (-ly / Derece),efficiently,"yeterli olarak, verimli biçimde, etkin",zarf,C1,,You have to use your time efficiently.,Vaktini verimli kullanmalısın.
B1-B2 Sık Çıkan Akademik Sıfatlar,elevated,"keyifli, yüksek, yüce",sıfat,B2,,The empirical results of the study were remarkably elevated.,Çalışmanın ampirik sonuçlarının son derece keyifli olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,emotional,"dokunaklı, duygusal, hissi",sıfat,B2,,I was a bit emotional.,Ben biraz duygusaldım.
C1 İleri Niteleme Sıfatları,endangered,"tehlikeye atılmış, tehlikede, nesli tükenmekte olan",sıfat,C1,,It is an endangered species.,Nesli tükenmekte olan bir türdür.
B1-B2 Sık Çıkan Akademik Sıfatlar,engaged,"bağlanmış, meşgul, nişanlı",sıfat,B2,,I'm engaged to Tom.,Ben Tom'la nişanlıyım.
B1-B2 Sık Çıkan Akademik Sıfatlar,enough,"kafi, yeterli, yeter",sıfat,B1,,I hope it's enough.,Umarım o yeterlidir.
C1 İleri Niteleme Sıfatları,entertained,"ağırlanmış, eğlendirilmiş, meşgul edilmiş",sıfat,C1,,They entertained us at dinner.,Bizi akşam yemeğinde ağırladılar.
B1-B2 Sık Çıkan Akademik Sıfatlar,entire,"bütün, tüm, tamam",sıfat,B1,,I read the entire book.,Tüm kitabı okudum.
Akademik Zarflar (-ly / Derece),entirely,"tümüyle, külliyen, büsbütün",zarf,B2,,I'm entirely to blame.,Tamamen suçlanacağım.
C1 İleri Niteleme Sıfatları,environmental,"çevre, çevresel, muhite ait",sıfat,C1,,This is a major environmental disaster.,Bu büyük bir çevre felaketi.
B1-B2 Sık Çıkan Akademik Sıfatlar,equal,"denk, eşit, muadili olmak",sıfat,B1,,I am not equal to it.,Ben ona uygun değilim.
Akademik Zarflar (-ly / Derece),especially,"özellikle, hele, ille",zarf,C1,,It is especially hot today.,Hava bugün özellikle çok sıcak.
B1-B2 Sık Çıkan Akademik Sıfatlar,essential,"ana, esas, esaslı",sıfat,B2,,Food is essential to life.,Gıda yaşam için elzemdir.
B1-B2 Sık Çıkan Akademik Sıfatlar,establish,"kanıtlamak, kurmak, tesis etmek",sıfat,B2,,Let's establish some ground rules.,Bazı temel kurallar belirleyelim.
B1-B2 Sık Çıkan Akademik Sıfatlar,european,"avrupalı, frenk, avrupai",sıfat,B2,,Spain is a European country.,İspanya bir Avrupa ülkesidir.
B1-B2 Sık Çıkan Akademik Sıfatlar,even,"düzgün, düz, pürüzsüz",sıfat,B1,,I won't even try.,Denemeyeceğim bile.
B1-B2 Sık Çıkan Akademik Sıfatlar,every,"her, bütün, alışılmış",sıfat,B1,,I see it every day.,Onu her gün görüyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,evident,"belli, vazıh, açık",sıfat,B2,,It is evident that he did it.,Onun onu yaptığı bellidir.
B1-B2 Sık Çıkan Akademik Sıfatlar,evolving,"gelişmekte olan, gitgide gelişen, gitgide evrimleşen",sıfat,B2,,The empirical results of the study were remarkably evolving.,Çalışmanın ampirik sonuçlarının son derece gelişmekte olan olduğu görüldü.
C1 İleri Niteleme Sıfatları,exceptional,"fevkalade, müstesna, istisnai",sıfat,C1,,I had an exceptional year.,Olağanüstü bir yıl geçirdim.
Akademik Zarflar (-ly / Derece),exceptionally,"fevkalade, müstesna olarak, son derece",zarf,C1,,We've done exceptionally well.,Son derece iyi yaptık.
B1-B2 Sık Çıkan Akademik Sıfatlar,excessive,"haddinden fazla, aşırı, aşkın",sıfat,B2,,Excessive honesty can be disastrous.,Aşırı dürüstlük feci olabilir.
B1-B2 Sık Çıkan Akademik Sıfatlar,executed,"asılı, yapılmış, uygulanmış",sıfat,B2,,He was executed as a spy.,O bir casus olarak idam edildi.
B1-B2 Sık Çıkan Akademik Sıfatlar,exhausted,"yorgun, tükenmiş, bitik",sıfat,B2,tired,I'm exhausted right now.,Şu anda bitkinim.
B1-B2 Sık Çıkan Akademik Sıfatlar,exhibited,"sergilenmiş, sergilenen",sıfat,B2,,He exhibited no remorse for his crime.,Suçu için hiç pişmanlık göstermedi.
B1-B2 Sık Çıkan Akademik Sıfatlar,existed,"mevcut, var olmuş, geçinmiş",sıfat,B2,,I didn't know it existed.,Bunun var olduğunu bilmiyordum.
B1-B2 Sık Çıkan Akademik Sıfatlar,existing,"mevcut, olma, var olma",sıfat,B2,,They lost faith in the existing system.,Mevcut sisteme inançlarını kaybettiler.
B1-B2 Sık Çıkan Akademik Sıfatlar,expanding,"genişleyen, tevsi, genişleme",sıfat,B2,,The workers are expanding the road.,İşçiler yolu genişletiyor.
B1-B2 Sık Çıkan Akademik Sıfatlar,expected,"beklenen, umulan, beklenilen",sıfat,B2,,I think I'm expected.,Sanırım bekleniyorum.
C1 İleri Niteleme Sıfatları,experienced,"tecrübeli, deneyimli, deneyim edilmiş",sıfat,C1,,I'm not experienced enough.,Yeterince deneyimli değilim.
C1 İleri Niteleme Sıfatları,experimental,"deneysel, tecrübi, deneyde kullanılan",sıfat,C1,,The empirical results of the study were remarkably experimental.,Çalışmanın ampirik sonuçlarının son derece deneysel olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,explored,keşfedilmiş,sıfat,B2,,He explored the Amazon jungle.,"O, Amazon ormanını araştırdı."
B1-B2 Sık Çıkan Akademik Sıfatlar,exquisite,"çok büyük, nazik, seçkin",sıfat,B2,,This is an exquisite little painting.,Bu enfes bir küçük tablodur.
B1-B2 Sık Çıkan Akademik Sıfatlar,extensive,"yaygın, geniş, kapsamlı",sıfat,B2,,The damage is too extensive.,Zarar çok geniş çaplıdır.
B1-B2 Sık Çıkan Akademik Sıfatlar,extra,"ekstra, ilave gazete, ilave",sıfat,B1,,This is an extra one.,Bu ilave bir tane.
C1 İleri Niteleme Sıfatları,extraordinary,"fevkalade, olağandışı, olağanüstü",sıfat,C1,,It was an extraordinary year.,Bu olağanüstü bir yıldı.
B1-B2 Sık Çıkan Akademik Sıfatlar,extreme,"aşırı, aşırı derece, aşırılık",sıfat,B2,,It's a bit extreme.,Bu biraz aşırıdır.
Akademik Zarflar (-ly / Derece),extremely,"gayetle, feci, aşırı",zarf,B2,,I've been extremely busy.,Son derece meşguldüm.
B1-B2 Sık Çıkan Akademik Sıfatlar,faint,"bayılmak, bayılma, bitkin düşmek",sıfat,B1,,I'm going to faint.,Bayılacağım.
B1-B2 Sık Çıkan Akademik Sıfatlar,fair,"panayır, fuar, açık tenli",sıfat,B1,,I think it's fair.,Onun adil olduğunu düşünüyorum.
Akademik Zarflar (-ly / Derece),fairly,"büsbütün, adil bir şekilde, uygunca",zarf,B1,,It may be fairly old.,Bu oldukça eski olabilir.
B1-B2 Sık Çıkan Akademik Sıfatlar,far,"uzak, çok fazla, uzun",sıfat,B1,,I won't go far.,Çok ileri gitmeyeceğim.
B1-B2 Sık Çıkan Akademik Sıfatlar,fast,"süratli, çabuk, hızlı",sıfat,B1,,I'm a fast eater.,Ben hızlı bir yiyiciyim.
B1-B2 Sık Çıkan Akademik Sıfatlar,favorite,"favori, gözde, en çok beğenilen",sıfat,B2,,It's Tom's favorite.,"O, Tom'un favorisi."
B1-B2 Sık Çıkan Akademik Sıfatlar,female,"kadın, dişi, kız",sıfat,B1,,A doe is a female deer.,Dişi geyiğe maral denir.
B1-B2 Sık Çıkan Akademik Sıfatlar,fertile,"verimli, bereketli, mümbit",sıfat,B2,,He has a fertile imagination.,Onun yaratıcı bir hayal gücü var.
B1-B2 Sık Çıkan Akademik Sıfatlar,final,"final, nihai, kesin",sıfat,B1,,I guess that's final.,Sanırım bu son.
B1-B2 Sık Çıkan Akademik Sıfatlar,finished,"tamamlanmış, bitmiş, tamam",sıfat,B2,,I think I'm finished.,Sanırım bitirdim.
B1-B2 Sık Çıkan Akademik Sıfatlar,firm,"firma, sıkı, sert",sıfat,B1,,It's a solvent firm.,O bir çözücü firması.
B1-B2 Sık Çıkan Akademik Sıfatlar,flowing,"seyelan, akma, akış",sıfat,B2,,Tears were flowing down her cheeks.,Gözyaşları onun yanaklarından süzülüyordu.
B1-B2 Sık Çıkan Akademik Sıfatlar,focused,"üzerine odaklanılmış, odaklanmış",sıfat,B2,,I tried to stay focused.,Ben odaklı kalmaya çalıştım.
B1-B2 Sık Çıkan Akademik Sıfatlar,foggy,"sisli, sersem, bulanık",sıfat,B1,,It's really foggy here.,Burası gerçekten sisli.
B1-B2 Sık Çıkan Akademik Sıfatlar,following,"taraftarlar, takip etme, izleyen",sıfat,B2,,A dog is following us.,Bir köpek bizi takip ediyor.
B1-B2 Sık Çıkan Akademik Sıfatlar,forced,"zoraki, mecbur, mecburi",sıfat,B1,,He forced me to go.,Ben gitmek zorundaydım.
Akademik Zarflar (-ly / Derece),formerly,"vaktiyle, evvel zaman, eskiden",zarf,B2,,She was formerly a bank clerk.,O eskiden bir banka memuruydu.
Akademik Zarflar (-ly / Derece),fortunately,"şükür ki, neyse ki, bereket versin",zarf,C1,,"Fortunately, I was on time.",Neyse ki zamanında oradaydım.
B1-B2 Sık Çıkan Akademik Sıfatlar,fragrant,"kokulu, hoş, rayihalı",sıfat,B2,,These flowers are not only beautiful but also fragrant.,Bu çiçekler sadece güzel değil fakat aynı zamanda güzel kokulu da.
Akademik Zarflar (-ly / Derece),frankly,"açıkça, açık söylemek gerekirse, açıkçası",zarf,B2,"openly, clearly, honestly","Frankly, I don't care.","Açıkça, umurumda değil."
B1-B2 Sık Çıkan Akademik Sıfatlar,free,"bağımsız, beleş, muaf",sıfat,B1,,I'm a free man.,Ben özgür bir insanım.
B1-B2 Sık Çıkan Akademik Sıfatlar,fresh,"taze, serinlik, dirilik",sıfat,B1,,I need a fresh start.,Yeni bir başlangıca ihtiyacım var.
C1 İleri Niteleme Sıfatları,frightened,"ürkmüş, korkan, korkmuş",sıfat,C1,,Now don't be frightened.,Artık korkma.
C1 İleri Niteleme Sıfatları,frightening,"korkutucu, korkulu, muhatara",sıfat,C1,,This is a frightening place.,Burası korkutucu bir mekan.
B1-B2 Sık Çıkan Akademik Sıfatlar,fruitful,"bereketli, verimli, artağan",sıfat,B2,,We've had very fruitful discussions.,Çok verimli görüşmeler yaptık.
C1 İleri Niteleme Sıfatları,frustrated,"hakkı yenmiş, boşa çıkmış, boşuna didinmiş",sıfat,C1,,I know you're frustrated.,Sinirli olduğunu biliyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,full,"tok, tam, dolu",sıfat,B1,,I'm full of hope.,Ben umut doluyum.
Akademik Zarflar (-ly / Derece),fully,"tamamıyla, iyice, iyiden iyiye",zarf,B1,,I fully agree with you.,Tamamen seninle aynı fikirdeyim.
C1 İleri Niteleme Sıfatları,functional,"pratik, görevci, fonksiyonel",sıfat,C1,,I think everything is functional.,Sanırım her şey işlevsel.
C1 İleri Niteleme Sıfatları,functioning,"çalıştırma, işleyiş, faal",sıfat,C1,,The machine has stopped functioning.,Makine çalışmayı durdurdu.
C1 İleri Niteleme Sıfatları,fundamental,"esas, asli, temel ilke",sıfat,C1,,That was a fundamental error.,O temel bir hataydı.
B1-B2 Sık Çıkan Akademik Sıfatlar,general,"genel, avam, komutan",sıfat,B2,,That's the general idea.,Bu genel bir fikir.
Akademik Zarflar (-ly / Derece),generally,"genelde, genel olarak, genellikle",zarf,B2,,I generally agree with Tom.,Genel olarak Tom'a katılıyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,genetic,"genetik yapı, soyaçekim, kalıtsal",sıfat,B2,,Genetic diversity is a good thing.,Genetik çeşitlilik güzel bir şey.
Akademik Zarflar (-ly / Derece),gently,"nazikçe, kibarca, nazik bir şekilde",zarf,B1,,She laid the child down gently.,"O, çocuğu yumuşak bir biçimde yere yatırdı."
C1 İleri Niteleme Sıfatları,geological,"yerbilimsel, jeolojik, yerbilimine değin",sıfat,C1,,The empirical results of the study were remarkably geological.,Çalışmanın ampirik sonuçlarının son derece yerbilimsel olduğu görüldü.
C1 İleri Niteleme Sıfatları,geopolitical,jeopolitik,sıfat,C1,,The empirical results of the study were remarkably geopolitical.,Çalışmanın ampirik sonuçlarının son derece jeopolitik olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,gigantic,"devasa, cüsseli, çam yarması gibi",sıfat,B2,,She owns a gigantic house.,"O, kocaman bir eve sahip."
B1-B2 Sık Çıkan Akademik Sıfatlar,global,"küresel, dünya çapında, bütün dünyayı kapsayan",sıfat,B1,,A global crisis is at hand.,Küresel bir kriz yakındır.
B1-B2 Sık Çıkan Akademik Sıfatlar,gloomy,"kasvetli, hüzün verici, sıkıntılı",sıfat,B1,,Why are you so gloomy?,Neden bu kadar sıkıntılısın?
B1-B2 Sık Çıkan Akademik Sıfatlar,golden,"altın, altından, itidal",sıfat,B1,,What's the golden rule?,Altın kural nedir?
B1-B2 Sık Çıkan Akademik Sıfatlar,good,"güzel, hayırlı, iyi",sıfat,B1,,I'm a good boy.,Ben iyi bir çocuğum.
B1-B2 Sık Çıkan Akademik Sıfatlar,gradual,"kademeli, yavaş, yavaş yavaş olan",sıfat,B2,,The changes have been gradual.,Değişiklikler kademeliydi.
Akademik Zarflar (-ly / Derece),gradually,"yavaş yavaş, gitgide, derece derece",zarf,B2,,The wind gradually died down.,Rüzgar yavaş yavaş kesildi.
B1-B2 Sık Çıkan Akademik Sıfatlar,grave,"kabir, mezar, kazımak",sıfat,B1,,This is Tom's grave.,"Bu, Tom'un mezarı."
B1-B2 Sık Çıkan Akademik Sıfatlar,gray,"ağarmak, ağartmak, gri",sıfat,B1,,My hair's turned gray.,Saçım ağardı.
B1-B2 Sık Çıkan Akademik Sıfatlar,great,"mükemmel, müthiş, harika",sıfat,B1,,It's a great deal.,Bu harika bir anlaşma.
B1-B2 Sık Çıkan Akademik Sıfatlar,growing,"gelişen, büyüyen, büyüme",sıfat,B2,,I'm growing a beard.,Sakal bırakıyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,grown,"büyümüş, yetişmiş, olmuş",sıfat,B1,,I'm a grown-up.,Ben olgunum.
B1-B2 Sık Çıkan Akademik Sıfatlar,grownup,yetişkin,sıfat,B2,,The grownups were talking among themselves.,Yetişkinler kendi aralarında konuşuyordu.
B1-B2 Sık Çıkan Akademik Sıfatlar,half,"yarım, yarı, devre",sıfat,B1,,I'm half your age.,Ben senin yarı yaşındayım.
B1-B2 Sık Çıkan Akademik Sıfatlar,handled,"yürütülen, kulplu, işlendi",sıfat,B2,,That job was handled by Tom.,O iş Tom tarafından halledildi.
B1-B2 Sık Çıkan Akademik Sıfatlar,happy,"sevinçli, mutlu, çakırkeyif",sıfat,B1,,I'm a happy man.,Ben mutlu bir adamım.
B1-B2 Sık Çıkan Akademik Sıfatlar,hard,"çetin, sert, zahmetli",sıfat,B1,,It's hard to do.,Bunu yapmak zor.
B1-B2 Sık Çıkan Akademik Sıfatlar,having,"sahip olma, sahip olan, -li",sıfat,B1,,I'm having a baby.,Bir çocuk sahibi olacağım.
B1-B2 Sık Çıkan Akademik Sıfatlar,hazardous,"tehlikeli, riskli, şüpheli",sıfat,B2,,Gusty winds are making travel hazardous for high profile vehicles.,Şiddetli rüzgarlar yüksek profilli araçlar için seyahati tehlikeli yapıyorlar.
B1-B2 Sık Çıkan Akademik Sıfatlar,healthful,"sağlığa yararlı, yararlı, sıhhatli",sıfat,B2,,The empirical results of the study were remarkably healthful.,Çalışmanın ampirik sonuçlarının son derece sağlığa yararlı olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,healthy,"sıhhatli, sağlıklı, sağlığa yararlı",sıfat,B2,,I'm fit and healthy.,Ben formda ve sağlıklıyım.
B1-B2 Sık Çıkan Akademik Sıfatlar,helpful,"yardımsever, faydalı, yararlı",sıfat,B2,,How can I be helpful?,Nasıl yardımcı olabilirim?
B1-B2 Sık Çıkan Akademik Sıfatlar,helpless,"aciz, çaresiz, miskin",sıfat,B2,,I feel helpless right now.,Şu anda çaresiz hissediyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,hidden,"gizli, saklı, kapalı",sıfat,B1,,What's hidden in there?,Orada ne saklı?
B1-B2 Sık Çıkan Akademik Sıfatlar,high,"yüksek, direnmek, öfkelenmek",sıfat,B1,,He is a little high.,"O, biraz sarhoştur."
Akademik Zarflar (-ly / Derece),highly,"ziyadesiyle, yüksek derecede, pek çok",zarf,B1,,He spoke highly of you.,O senden övgüyle bahsetti.
B1-B2 Sık Çıkan Akademik Sıfatlar,historic,"tarihi, evrimsel, önemli",sıfat,B2,,Today is a historic day.,Bugün tarihi bir gün.
C1 İleri Niteleme Sıfatları,historical,"tarihi, tarihle ilgili, tarihsel",sıfat,C1,,Do you like historical novels?,Tarihsel romanlardan hoşlanıyor musun?
B1-B2 Sık Çıkan Akademik Sıfatlar,holy,"kutsal, kutsal yer, mukaddes",sıfat,B1,,The Holy Roman Empire came to an end in the year 1806.,Kutsal Roma İmparatorluğu 1806 yılında sona erdi.
B1-B2 Sık Çıkan Akademik Sıfatlar,homeless,"evsiz, evi barkı olmayan, yurtsuz",sıfat,B2,,I'm no longer homeless.,Ben artık evsiz değilim.
Akademik Zarflar (-ly / Derece),honestly,"dürüst olarak, gerçekten, dürüst olmak gerekirse",zarf,B2,frankly,I can honestly say no.,Dürüstçe hayır diyebilirim.
B1-B2 Sık Çıkan Akademik Sıfatlar,hopeless,"umutsuz, ümitsiz, umarsız",sıfat,B2,,I know it's hopeless.,Bunun umutsuz olduğunu biliyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,horrible,"berbat, müthiş, kötü",sıfat,B2,,I'm horrible at math.,Matematikte berbatım.
B1-B2 Sık Çıkan Akademik Sıfatlar,horrified,"dehşete düşmüş, korkmuş, dehşete kapılmış",sıfat,B2,,The empirical results of the study were remarkably horrified.,Çalışmanın ampirik sonuçlarının son derece dehşete düşmüş olduğu görüldü.
C1 İleri Niteleme Sıfatları,horrifying,"korkutma, korkunç, ürkünç",sıfat,C1,,That's a horrifying thought.,O korkunç bir düşünce.
B1-B2 Sık Çıkan Akademik Sıfatlar,hot,"kızgın, ateşli, acı",sıfat,B1,,It's a hot day.,Sıcak bir gün.
B1-B2 Sık Çıkan Akademik Sıfatlar,huge,"iri, kocaman, devasa",sıfat,B1,,I had a huge dog.,Büyük bir köpeğim var.
B1-B2 Sık Çıkan Akademik Sıfatlar,humid,"rutubetli, nemli, yaş",sıfat,B1,,It's been hot and humid.,Hava sıcak ve nemli.
B1-B2 Sık Çıkan Akademik Sıfatlar,ideal,"ülkü, ideal, mefkure",sıfat,B1,,It's ideal for us.,Bizim için idealdir.
B1-B2 Sık Çıkan Akademik Sıfatlar,ill,"hasta, fenalık, kötülük",sıfat,B1,,He can't be ill.,O hasta olamaz.
B1-B2 Sık Çıkan Akademik Sıfatlar,immune,"bağışık, bağışık kimse, ayrıcalıklı",sıfat,B1,,I'm immune to smallpox.,Çiçek hastalığına bağışıklığım var.
B1-B2 Sık Çıkan Akademik Sıfatlar,impatient,"sabırsız, titiz, hoşgörüsüz",sıfat,B2,,Don't be so impatient.,Çok sabırsız olma.
C1 İleri Niteleme Sıfatları,implemented,"uygulanmış, yerine getirilmiş, azı dişli",sıfat,C1,,The plan was never implemented.,Plan hiç uygulanmadı.
B1-B2 Sık Çıkan Akademik Sıfatlar,important,"mühim, önemli, gururlu",sıfat,B2,,It's important to me.,Bu benim için önemli.
C1 İleri Niteleme Sıfatları,impressive,"etkileyici, duyguları etkileyen, çarpıcı",sıfat,C1,dazzling,Tom's resume's impressive.,Tom'un özgeçmişi etkileyici.
Akademik Zarflar (-ly / Derece),incessantly,"aralıksız olarak, ardı arkası kesilmeden, biteviye",zarf,C1,,The empirical results of the study were remarkably incessantly.,Çalışmanın ampirik sonuçlarının son derece aralıksız olarak olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,including,"kapsama, içerme, şamil",sıfat,B2,,There are six people including him.,O dahil altı kişi var.
B1-B2 Sık Çıkan Akademik Sıfatlar,inclusive,"dahil, şümulu olan, içlemci",sıfat,B2,,The empirical results of the study were remarkably inclusive.,Çalışmanın ampirik sonuçlarının son derece dahil olduğu görüldü.
C1 İleri Niteleme Sıfatları,inconvenient,"zahmetli, uygunsuz, zor",sıfat,C1,,I'm sure it's inconvenient.,Bunun sakıncalı olduğundan eminim.
Akademik Zarflar (-ly / Derece),increasingly,"gitgide artarak, gitgide, gittikçe artarak",zarf,C1,,Modern finance is becoming increasingly complicated and sophisticated.,Modern finans giderek karmaşık ve sofistike hale geliyor.
B1-B2 Sık Çıkan Akademik Sıfatlar,incurable,"tedavi edilemez kimse, amansız, çaresiz",sıfat,B2,,They say it's incurable.,Bunun tedavi edilemez olduğu söyleniyor.
C1 İleri Niteleme Sıfatları,independent,"bağımsız, müstakil, özgür",sıfat,C1,,He's an independent thinker.,O bağımsız bir düşünür.
Akademik Zarflar (-ly / Derece),independently,"başlı başına, birbirini etkilemeden, müstakilen",zarf,C1,,The empirical results of the study were remarkably independently.,Çalışmanın ampirik sonuçlarının son derece başlı başına olduğu görüldü.
C1 İleri Niteleme Sıfatları,indicative,"belirten, gösteren, haber kipi",sıfat,C1,,The empirical results of the study were remarkably indicative.,Çalışmanın ampirik sonuçlarının son derece belirten olduğu görüldü.
C1 İleri Niteleme Sıfatları,indispensable,"zaruri, zorunlu, vazgeçilmez",sıfat,C1,,None of us are indispensable.,Hiçbirimiz vazgeçilmez değiliz.
C1 İleri Niteleme Sıfatları,inefficient,"liyakatsiz, ehliyetsiz, zaman ve enerjiyi ekonomik bir şekilde kullanmayan",sıfat,C1,,The empirical results of the study were remarkably inefficient.,Çalışmanın ampirik sonuçlarının son derece liyakatsiz olduğu görüldü.
C1 İleri Niteleme Sıfatları,infectious,"bulaşıcı, başkalarına kolay geçen, intani",sıfat,C1,,Mumps is an infectious disease.,Kabakulak bulaşıcı bir hastalıktır.
C1 İleri Niteleme Sıfatları,inflammatory,"iltihaplı, kışkırtıcı, yangılı",sıfat,C1,,The empirical results of the study were remarkably inflammatory.,Çalışmanın ampirik sonuçlarının son derece iltihaplı olduğu görüldü.
C1 İleri Niteleme Sıfatları,influential,"etkili, etkileyici, ağababa",sıfat,C1,,We're not that influential.,O kadar etkili değiliz.
Akademik Zarflar (-ly / Derece),influentially,"güçlü bir şekilde, etkili bir biçimde",zarf,C1,,The empirical results of the study were remarkably influentially.,Çalışmanın ampirik sonuçlarının son derece güçlü bir şekilde olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,ingenious,"ustalık, becerikli, maharetli",sıfat,B2,,The ingenious boy won a prize for his invention.,Becerikli genç buluşu için bir ödül kazandı.
B1-B2 Sık Çıkan Akademik Sıfatlar,inhabited,"meskun, iskan edilmiş, mekün",sıfat,B2,,The region has never been inhabited by people.,Bölgede insanlar hiç yaşamadı.
