Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
B2 İleri Akademik Fiiller,foresee,"öngörmek, ileriyi görmek, foresaw - foreseen",fiil,B2,,Nobody can foresee what'll happen.,Kimse ne olacağını öngöremez.
B2 İleri Akademik Fiiller,forward,"ileri, ileriye doğru, yollamak",fiil,B2,,I look forward to it.,Onu dört gözle bekliyorum.
B1 Temel Sınav Fiilleri,found,"kurmak, tesis etmek, kalıba dökmek",fiil,B1,,I've found a job.,Ben bir iş buldum.
B2 İleri Akademik Fiiller,frustrate,"engellemek, yıldırmak, set çekmek",fiil,B2,,I know you're frustrated.,Sinirli olduğunu biliyorum.
B1 Temel Sınav Fiilleri,fuel,"yakıt, yakıt sağlamak, yakmak",fiil,B1,,I ran out of fuel.,Yakıtım bitti.
B1 Temel Sınav Fiilleri,fuse,"eritmek, fünye, sigorta",fiil,B1,,We've blown a fuse.,Bir sigortayı patlattık.
B2 İleri Akademik Fiiller,generate,"meydana getirmek, oluşturmak, üretmek",fiil,B2,,We have to generate new revenue.,Yeni gelir üretmek zorundayız.
B1 Temel Sınav Fiilleri,get,"elde etmek, almak, kazanmak",fiil,B1,,I can't get in.,İçeri giremiyorum.
B1 Temel Sınav Fiilleri,give,"vermek, gave - given, bahşetmek",fiil,B1,,I can't give up.,Vazgeçemem.
B1 Temel Sınav Fiilleri,glow,"korlaşmak, parıltı, coşmak",fiil,B1,,You could see the glow of the fire for miles.,Ateşin parıltısını millerce görebildiniz.
B1 Temel Sınav Fiilleri,go,"hareket etmek, gitmek, went - gone",fiil,B1,,I can't go on.,Ben devam edemem.
B1 Temel Sınav Fiilleri,goats,"davar, küçükbaş, iyiyi ve kötüyü birbirinden ayırmak",fiil,B1,,We're selling our goats.,Keçilerimizi satıyoruz.
B1 Temel Sınav Fiilleri,goes,"sözü vermek, peşin parayla alışveriş etmek, geniş bir alanı kapsamak",fiil,B1,,I hope it goes OK.,Onun iyi gittiğini umuyorum.
B1 Temel Sınav Fiilleri,govern,"kontrol etmek, kullanmak, frenlemek",fiil,B1,,They wanted the right to govern themselves.,Kendilerini yönetme hakkı istediler.
B1 Temel Sınav Fiilleri,grew,"olmak, yaşlandıkça, bu civarda büyüdüm",fiil,B1,,I grew up with Tom.,Tom'la birlikte büyüdüm.
B1 Temel Sınav Fiilleri,grow,"yetişmek, büyümek, grew - grown",fiil,B1,,You need to grow up.,Büyümelisin.
B1 Temel Sınav Fiilleri,guess,"tahmin etmek, tahmin, sanmak",fiil,B1,,I guess it's OK.,Sanırım bu tamam.
B1 Temel Sınav Fiilleri,had,"have fiilinin ikinci hali, kandırılmış",fiil,B1,,I had to do it.,Onu yapmak zorunda kaldım.
B1 Temel Sınav Fiilleri,harm,"zarar, zeval vermek, kötülük yapmak",fiil,B1,,I won't harm you.,Sana zarar vermeyeceğim.
B1 Temel Sınav Fiilleri,has,sahip olmak,fiil,B1,,He has a hat on.,Kafasında bir şapkası vardı.
B1 Temel Sınav Fiilleri,have,"sahip olmak, had - had, elinde tutmak",fiil,B1,,I have a Ph.D.,Doktora derecem var.
B1 Temel Sınav Fiilleri,heal,"şifa bulmak, iyileştirmek, defetmek",fiil,B1,"cure, treat, recover",It's going to heal.,Bu iyileşecek.
B1 Temel Sınav Fiilleri,here,"burada, buraya, burda",fiil,B1,,I won't be here.,Burada olmayacağım.
B1 Temel Sınav Fiilleri,hide,"saklamak, gizlemek, saklanmak",fiil,B1,,I'll hide in here.,Burada saklanacağım
B1 Temel Sınav Fiilleri,hike,"yürüyüşe çıkmak, yükseltmek, kaldırmak",fiil,B1,,We're going on a hike.,Yürüyüşe çıkıyoruz.
B1 Temel Sınav Fiilleri,hold,"sahip olmak, zaptetmek, düzenlemek",fiil,B1,,I can't hold it.,Onu tutamam.
B1 Temel Sınav Fiilleri,hop,"sekmek, dans etmek, şerbetçiotu yetiştirmek",fiil,B1,,Hop in. I'll give you a ride.,Atla. Seni arabayla götüreceğim.
B1 Temel Sınav Fiilleri,hurt,"acımak, incitmek, yaralamak",fiil,B1,,I can't hurt Tom.,Ben Tom'a zarar veremem.
B2 İleri Akademik Fiiller,identify,"tanımlamak, tanımak, kimliğini saptamak",fiil,B2,,I can't identify it.,Teşhis edemiyorum.
B2 İleri Akademik Fiiller,immediate,"acil, hemen ardından gelen, hazır",fiil,B2,,Are you in immediate danger?,Sen yakın tehlike içinde misin?
B2 İleri Akademik Fiiller,impress,"iz bırakmak, hayran bırakmak, etkilemek",fiil,B2,,You don't impress me.,Beni etkilemiyorsun.
B2 İleri Akademik Fiiller,improve,"geliştirmek, gelişmek, ilerletmek",fiil,B2,enhance,I'm trying to improve.,Geliştirmeye çalışıyorum.
C1 Üst Düzey Paragraf Fiilleri,inadequate,"yetersiz, liyakatsiz, elverişsiz",fiil,C1,,I just feel a little inadequate.,Sadece biraz yetersiz hissediyorum.
C1 Üst Düzey Paragraf Fiilleri,inappropriate,"uygun olmayan, yakışıksız, isabetsiz",fiil,C1,,I think it's inappropriate.,O bence uygun değil.
B2 İleri Akademik Fiiller,incline,"meyletmek, eğilmek, bayır",fiil,B2,,I'm inclined to agree.,Kabul etmeye eğilimliyim.
B2 İleri Akademik Fiiller,include,"katmak, içermek, kapsamak",fiil,B2,,Include me in your plans.,Planlarınıza beni ekleyin.
B2 İleri Akademik Fiiller,increase,"arttırmak, artmak, çoğalmak",fiil,B2,,It was a huge increase.,Büyük bir artış oldu.
B2 İleri Akademik Fiiller,indicate,"göstergesi olmak, belirtisi olmak, işaret etmek",fiil,B2,,A closed fist can indicate stress.,Kapalı bir yumruk stres gösterebilir.
B2 İleri Akademik Fiiller,inhabit,"oturmak, iskan etmek, ikamet etmek",fiil,B2,,What animals inhabit those islands?,Şu adalarda hangi hayvanlar yaşar?
B2 İleri Akademik Fiiller,initiate,"başlatmak, göstermek, üyeliğe kabul etmek",fiil,B2,,The research committee agreed to initiate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi başlatmak konusunda mutabık kaldı.
B1 Temel Sınav Fiilleri,intend,"niyet etmek, demek istemek, niyeti olmak",fiil,B1,,I intend to do so.,Ben öyle yapmak niyetindeyim.
B2 İleri Akademik Fiiller,interrupt,"sekte vurmak, söze karışmak, kesmek",fiil,B2,,"Don't interrupt me, Tom.","Sözümü kesme, Tom."
B2 İleri Akademik Fiiller,intervene,"araya girmek, müdahale etmek, arada olmak",fiil,B2,,I don't want to intervene.,Müdahale etmek istemiyorum.
B2 İleri Akademik Fiiller,introduce,"tanıtmak, tanıştırmak, içeri sokmak",fiil,B2,,Let me introduce my wife.,Karımı tanıtmama izin ver.
B1 Temel Sınav Fiilleri,invent,"icat etmek, yumurtlamak, düzmek",fiil,B1,,We should invent a secret language.,Gizli bir dil icat etmemiz gerek.
B1 Temel Sınav Fiilleri,invest,"yatırım yapmak, birine yetki vermek, yetki vermek",fiil,B1,,We must invest in our future.,Geleceğimize yatırım yapmalıyız.
C1 Üst Düzey Paragraf Fiilleri,investigate,"araştırmak, soruşturmak, incelemek",fiil,C1,,Let's go and investigate.,Gidelim ve araştıralım.
B1 Temel Sınav Fiilleri,is,"olmak, -dir, -dır",fiil,B1,,He is a bad boy.,O kötü bir çocuk.
B1 Temel Sınav Fiilleri,join,"birleştirmek, katılmak, katmak",fiil,B1,,I can't join you.,Size katılamam.
B1 Temel Sınav Fiilleri,jokes,"şaka yapmak, fıkra anlatmak, şakalar yapmak",fiil,B1,,I like Tom's jokes.,Tom'un şakaları severim.
B1 Temel Sınav Fiilleri,jump,"sıçramak, zıplamak, atlamak",fiil,B1,,I'm going to jump.,Atlayacağım.
B1 Temel Sınav Fiilleri,just,"sadece, adil, yalnızca",fiil,B1,,I'm just a boy.,Ben sadece bir çocuğum.
B1 Temel Sınav Fiilleri,keep,"tutmak, saklamak, kept - kept",fiil,B1,,I can't keep it.,Bunu saklayamam.
B1 Temel Sınav Fiilleri,kill,"katletmek, öldürmek, öldürme",fiil,B1,,I won't kill you.,Seni öldürmeyeceğim.
B1 Temel Sınav Fiilleri,knows,"tanışık çıkmak, tanış çıkmak, allah bilir!",fiil,B1,,He knows who I am.,Kim olduğumu biliyor.
B1 Temel Sınav Fiilleri,last,"sonuncu, son, tutunmak",fiil,B1,,I want to be last.,Ben sonuncu olmak istiyorum.
B1 Temel Sınav Fiilleri,laugh,"gülmek, gülme, gülüş",fiil,B1,,Don't laugh at me.,Bana gülme.
B1 Temel Sınav Fiilleri,launch,"başlatmak, piyasaya sürmek, fırlatmak",fiil,B1,,The probe launch was successful.,Uydu fırlatılışı başarılıydı.
B1 Temel Sınav Fiilleri,lay,"sermek, laid - laid, kurmak",fiil,B1,,I lay on my bed.,Yatağımda uzandım.
B1 Temel Sınav Fiilleri,leave,"bırakmak, ayrılmak, terk etmek",fiil,B1,,I can't leave Tom.,Tom'u terk edemem.
B1 Temel Sınav Fiilleri,lessen,"eksiltmek, hafifletmek, eksilmek",fiil,B1,diminish,The pain has lessened a little.,Acı biraz azaldı.
B1 Temel Sınav Fiilleri,let,"izin vermek, let - let, vermek",fiil,B1,,Let's go on in.,Evde devam edelim.
B1 Temel Sınav Fiilleri,let's,"coşmak, haber vermek, izin vermek",fiil,B1,,The research committee agreed to let's the proposed methodology.,Araştırma komitesi önerilen metodolojiyi coşmak konusunda mutabık kaldı.
B1 Temel Sınav Fiilleri,locate,"yerini saptamak, yerini bulmak, yerini tespit etmek",fiil,B1,,We couldn't locate Tom.,Tom'u bulamadık.
B1 Temel Sınav Fiilleri,long,"uzun, hasretini çekmek, susamak",fiil,B1,,I won't be long.,Yakında döneceğim.
B1 Temel Sınav Fiilleri,look,"bakmak, görünüş, bakış",fiil,B1,,I've had a look.,Bakıverdim.
B1 Temel Sınav Fiilleri,lose,"kaybetmek, yitirmek, lost - lost",fiil,B1,,I won't lose it.,Onu kaybetmeyeceğim.
B1 Temel Sınav Fiilleri,lots,"bir sürü, adçekmek, kura çekmek",fiil,B1,,It was lots of fun.,O çok eğlenceliydi.
B1 Temel Sınav Fiilleri,love,"sevmek, sevda, aşk",fiil,B1,,I'd love to go.,Gitmek istiyorum.
B2 İleri Akademik Fiiller,maintain,"sürdürmek, bakım yapmak, bakmak",fiil,B2,,We need to maintain focus.,Bizim odakları korumamız gerekiyor.
B1 Temel Sınav Fiilleri,make,"yapmak, made - made, katetmek",fiil,B1,,I can't make it.,Ben onu yapamam.
B1 Temel Sınav Fiilleri,manage,"işletmek, idare etmek, yönetmek",fiil,B1,,I think I'll manage.,Becereceğimi sanıyorum.
B1 Temel Sınav Fiilleri,maybe,"belki, belki de, haydi",fiil,B1,,Maybe it's a fake.,Belki o bir taklit.
B2 İleri Akademik Fiiller,medicate,"ilaçla tedavi etmek, ilaç vermek, içine ilaç katmak",fiil,B2,treat,The research committee agreed to medicate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi ilaçla tedavi etmek konusunda mutabık kaldı.
B1 Temel Sınav Fiilleri,melt,"eritmek, erimek, ergitmek",fiil,B1,,The snow has begun to melt.,Kar erimeye başladı.
B1 Temel Sınav Fiilleri,might,"mümkün olmak, olası olmak, -abilir",fiil,B1,,It might be a trap.,O bir tuzak olabilir.
B1 Temel Sınav Fiilleri,misuse,"suistimal etmek, istismar etmek, hatalı kullanmak",fiil,B1,,It's a blatant misuse of public money.,Bu halkın parasını çarçur etmekten başka bir şey değil.
B1 Temel Sınav Fiilleri,mix,"karıştırmak, karışım, karışmak",fiil,B1,,Don't mix me up.,Beni karıştırmayın.
B2 İleri Akademik Fiiller,monetize,"para olarak tedavüle koymak, parayı yasal olarak kullanma yetkisi vermek, para basmak",fiil,B2,,The research committee agreed to monetize the proposed methodology.,Araştırma komitesi önerilen metodolojiyi para olarak tedavüle koymak konusunda mutabık kaldı.
B1 Temel Sınav Fiilleri,more,"daha fazla, daha, fazla şey",fiil,B1,,I'll say no more.,Ben artık söylemiyeceğim.
B1 Temel Sınav Fiilleri,much,"fazla, çok, çok şey",fiil,B1,,I don't do much.,Ben fazla yapmam.
B2 İleri Akademik Fiiller,navigate,"gemi ile geçmek, seyretmek, dümen tutmak",fiil,B2,"steer, pilot, maneuver",The research committee agreed to navigate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi gemi ile geçmek konusunda mutabık kaldı.
C1 Üst Düzey Paragraf Fiilleri,necessitate,"gerektirmek, gerekli kılmak, zorunlu kılmak",fiil,C1,,The research committee agreed to necessitate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi gerektirmek konusunda mutabık kaldı.
B1 Temel Sınav Fiilleri,noise,"ses, gürültü, gürültü etmek",fiil,B1,,Don't make a noise.,Gürültü yapmayın.
B1 Temel Sınav Fiilleri,not,"olumsuzluk, hükümsüzlük, gayri",fiil,B1,,I'm not a cop.,Ben bir polis değilim.
B1 Temel Sınav Fiilleri,now,"şimdi, şu anda, şimdiki zaman",fiil,B1,,I'm a man now.,Ben artık bir erkeğim.
B2 İleri Akademik Fiiller,observe,"gözlemlemek, gözlem yapmak, gözetlemek",fiil,B2,,I'm just here to observe.,Ben sadece gözlemek için buradayım.
B2 İleri Akademik Fiiller,obstruct,"engellemek, menetmeye çalışmak, tıkanmak",fiil,B2,,A large pillar obstructs the view of the lake.,Büyük bir direk göl manzarasını engelliyor.
B1 Temel Sınav Fiilleri,obtain,"edinmek, elde etmek, almak",fiil,B1,,It was easy to obtain.,Onu elde etmek kolaydı.
B1 Temel Sınav Fiilleri,only,"tek, sırf, yalnızca",fiil,B1,,I'm only a man.,Ben sadece bir insanım.
B2 İleri Akademik Fiiller,operate,"ameliyat etmek, çalıştırmak, işletmek",fiil,B2,,We have to operate immediately.,Derhal ameliyat etmek zorundayız.
B1 Temel Sınav Fiilleri,ought,"gerekli, lazım, gerekir",fiil,B1,,I ought to go now.,Şimdi gitmek zorundayım.
B1 Temel Sınav Fiilleri,own,"sahip olmak, kendi, itiraf etmek",fiil,B1,,I'm on my own.,Ben kendi başımayım.
B1 Temel Sınav Fiilleri,pass,"geçirmek, geçmek, geçiş izni",fiil,B1,,We'll pass it on.,Onu vereceğiz.
B1 Temel Sınav Fiilleri,patrol,"devriye, devriye gezmek, kol gezmek",fiil,B1,,I'm the patrol leader.,Ben devriye lideriyim.
B1 Temel Sınav Fiilleri,pave,"döşemek, asfalt kaplamak, kaldırım döşemek",fiil,B1,,The street is paved with asphalt.,Cadde asfalt ile kaplanmıştır.
B1 Temel Sınav Fiilleri,pay,"ödemek, ödeme, ücret",fiil,B1,,I can't pay Tom.,Tom'a para ödeyemem.
B2 İleri Akademik Fiiller,perform,"rol yapmak, yapmak, yerine getirmek",fiil,B2,conduct,You must perform your duty.,Görevini yerine getirmelisin.
B2 İleri Akademik Fiiller,persuade,"ikna etmek, razı etmek, aklını çelmek",fiil,B2,,He tried to persuade her.,"O, onu ikna etmeye çalıştı."
B1 Temel Sınav Fiilleri,please,"memnun etmek, lütfen, gönlünü hoş etmek",fiil,B1,,I'm easy to please.,Beni memnun etmek kolaydır.
B2 İleri Akademik Fiiller,postpone,"ertelemek, ötelemek, rafa koymak",fiil,B2,,Can we postpone the trip?,Seyahati erteleyebilir miyiz?
B2 İleri Akademik Fiiller,precise,"kesin, kesinlik, titizlikle yapılmış",fiil,B2,,My watch is very precise.,Saatim çok dakik.
B2 İleri Akademik Fiiller,predict,"öngörmek, önceden söylemek, tahmin etmek",fiil,B2,,I can predict the future.,Geleceği tahmin edebilirim.
B2 İleri Akademik Fiiller,prepare,"hazırlamak, düzmek, pişirmek",fiil,B2,,I need time to prepare.,Hazırlanmak için zamana ihtiyacım var.
B2 İleri Akademik Fiiller,present,"sunmak, takdim etmek, şimdiki zaman",fiil,B2,,I got you a present.,Sana bir hediye aldım.
B2 İleri Akademik Fiiller,preserve,"muhafaza etmek, korumak, zarardan korumak",fiil,B2,,Refrigerators help to preserve food.,Buzdolapları gıdanın korunmasına yardımcı olur.
B2 İleri Akademik Fiiller,prevent,"engellemek, önlemek, engel olmak",fiil,B2,,I can prevent all that.,Onun hepsini engelleyebilirim.
B2 İleri Akademik Fiiller,private,"er, mahrem, özel",fiil,B2,,It's a private joke.,Bu özel bir şaka.
B2 İleri Akademik Fiiller,proceed,"ilerlemek, devam etmek, çıkmak",fiil,B2,,I'm ready to proceed.,Devam etmeye hazırım.
B2 İleri Akademik Fiiller,produce,"üretmek, imal etmek, çıkarmak",fiil,B2,,These fields produce fine crops.,Bu tarlalar güzel ekinler üretir.
C1 Üst Düzey Paragraf Fiilleri,progressed,"zaman ilerledikçe, zaman geçtikçe, ilerletilmiş harita",fiil,C1,,The research committee agreed to progressed the proposed methodology.,Araştırma komitesi önerilen metodolojiyi zaman ilerledikçe konusunda mutabık kaldı.
B2 İleri Akademik Fiiller,prohibit,"önlemek, önüne geçmek, yasak etmek",fiil,B2,,The law prohibits minors from smoking.,"Kanun, yaşı küçük olanların sigara içmesini yasaklıyor."
B2 İleri Akademik Fiiller,promise,"söz vermek, söz, vadetmek",fiil,B2,,I promise I'll try.,Deneyeceğime söz veriyorum.
B2 İleri Akademik Fiiller,promote,"tanıtımını yapmak, desteklemek, terfi ettirmek",fiil,B2,foster,His job is to promote sales.,Onun işi satışları yükseltmektir.
B2 İleri Akademik Fiiller,protect,"korumak, himaye etmek, muhafaza etmek",fiil,B2,,I can't protect Tom.,Tom'u koruyamam.
B2 İleri Akademik Fiiller,protest,"protesto, karşı çıkmak, itiraz etmek",fiil,B2,,Aren't you going to protest?,Protesto etmeyecek misin?
B1 Temel Sınav Fiilleri,prove,"kanıtlamak, ispat etmek, proved - proven/proved",fiil,B1,,I can't prove it.,Onu ispat edemem.
B2 İleri Akademik Fiiller,provide,"sağlamak, temin etmek, donatmak",fiil,B2,,Cows provide us with milk.,İnekler bize süt sağlar.
B1 Temel Sınav Fiilleri,push,"itelemek, itmek, kakmak",fiil,B1,,Let's not push it.,Onu itmeyelim.
B1 Temel Sınav Fiilleri,put,"koymak, put - put, hamletmek",fiil,B1,,I put on a tie.,Bir kravat taktım.
B1 Temel Sınav Fiilleri,quite,"epeyce, pek, epey",fiil,B1,,It's quite a mess.,Büyük bir karışıklık oldu.
B1 Temel Sınav Fiilleri,reach,"ulaşmak, ermek, erişmek",fiil,B1,,I can't reach it.,Ben ona ulaşamam.
B1 Temel Sınav Fiilleri,react,"tepki göstermek, tepkimek, tepki vermek",fiil,B1,,I tried not to react.,Ben tepki göstermemeye çalıştım.
B2 İleri Akademik Fiiller,recognize,"tanımak, haklı bulmak, bilmek",fiil,B2,,I don't recognize it.,Onu tanımıyorum.
B2 İleri Akademik Fiiller,recommend,"tavsiye etmek, salık vermek, önermek",fiil,B2,,I don't recommend it.,Onu tavsiye etmiyorum.
B1 Temel Sınav Fiilleri,reduce,"dönüştürmek, kısmak, kırmak",fiil,B1,diminish,He was able to reduce taxes.,"O, vergileri azaltabildi."
B1 Temel Sınav Fiilleri,reform,"reform yapmak, yeniden düzenlemek, adam olmak",fiil,B1,,The new law was a major reform.,Yeni yasa büyük bir reformdu.
B2 İleri Akademik Fiiller,refrain,"kendini tutmak, çekinmek, geri durmak",fiil,B2,,You should refrain from smoking.,Sigara içmekten çekinmelisin.
B1 Temel Sınav Fiilleri,refuse,"geri çevirmek, reddetmek, imtina etmek",fiil,B1,,I refuse to do it.,Ben onu yapmayı reddediyorum.
B1 Temel Sınav Fiilleri,rehab,"rehabilitasyon, rehabilite etmek, iyileştirmek",fiil,B1,,I don't want to go to rehab.,Rehabilitasyona gitmek istemiyorum.
B1 Temel Sınav Fiilleri,reject,"geri çevirmek, reddetmek, kabul etmemek",fiil,B1,,He got them to reject it.,O onlara onu geri çevirtti.
B1 Temel Sınav Fiilleri,relax,"rahatlamak, rahatlatmak, dinlenmek",fiil,B1,,I've got to relax.,Rahatlamalıyım.
B1 Temel Sınav Fiilleri,rely,"güvenmek, dayanmak, inanmak",fiil,B1,,Can I rely on you?,Sana güvenebilir miyim?
B2 İleri Akademik Fiiller,relying,"istinat, istinaden, güvenerek",fiil,B2,,Everybody is relying on you.,Herkes size güveniyor.
B1 Temel Sınav Fiilleri,remain,"geriye kalmak, kalmak, artmak",fiil,B1,,I will remain at home.,Evde kalacağım.
B2 İleri Akademik Fiiller,remained,"kaldı, geriye kalan",fiil,B2,,He remained a poor man.,"O, fakir bir adam kaldı."
B1 Temel Sınav Fiilleri,repeat,"yinelemek, tekrarlamak, yenilemek",fiil,B1,,I have to repeat it.,Onu tekrarlamam gerekiyor.
B1 Temel Sınav Fiilleri,repel,"püskürtmek, geçirmemek, itelemek",fiil,B1,,The scent of cedar repels moths.,Sedir kokusu güveleri iter.
B2 İleri Akademik Fiiller,represent,"temsil etmek, yansıtmak, anlatmak",fiil,B2,"symbolize, stand for, signify, depict",What company do you represent?,Hangi şirketi temsil ediyorsun?
B2 İleri Akademik Fiiller,require,"gerekmek, ihtiyacı olmak, gerek duymak",fiil,B2,,Do you require our help?,Yardımımıza ihtiyacın var mı?
B2 İleri Akademik Fiiller,resemble,"benzemek, andırmak, kan çekmek",fiil,B2,,I think you resemble your mother.,Sanırım annene benziyorsun.
B1 Temel Sınav Fiilleri,reside,"ikamet etmek, oturmak, -e dayanmak",fiil,B1,,She resides in New York.,"O, New York'ta oturmaktadır."
B2 İleri Akademik Fiiller,resolve,"kesin karar vermek, azmetmek, ahdetmek",fiil,B2,,It is impossible to resolve the conflict.,Bu çatışmayı çözmek imkansız.
B2 İleri Akademik Fiiller,restrict,"sınırlamak, kısıtlamak, hasretmek",fiil,B2,,He feels this new law will restrict his freedom.,"Bu yeni kanunun, özgürlüğünü kısıtlayacağını hissediyor."
B2 İleri Akademik Fiiller,reverse,"ters, yerlerini değiştirmek, tersine döndürmek",fiil,B2,,Can you do it in reverse?,Bunu tersten yapabilir misin?
B2 İleri Akademik Fiiller,revolve,"dönmek, devir yapmak, yuvarlanmak",fiil,B2,,The planets revolve around the sun.,Gezegenler güneşin etrafında döner.
B1 Temel Sınav Fiilleri,rise,"doğmak, yükselmek, yükseliş",fiil,B1,,My cake didn't rise.,Benim kekim kabarmadı.
B2 İleri Akademik Fiiller,roommate,oda arkadaşı,fiil,B2,,I'm Tom's roommate.,Ben Tom'un oda arkadaşıyım.
B1 Temel Sınav Fiilleri,rout,"bozgun, tarumar etmek, darmadağın etmek",fiil,B1,,The research committee agreed to rout the proposed methodology.,Araştırma komitesi önerilen metodolojiyi bozgun konusunda mutabık kaldı.
B2 İleri Akademik Fiiller,satisfy,"tatmin etmek, doyurmak, yerine getirmek",fiil,B2,,We can't satisfy everyone.,Biz herkesi tatmin edemeyiz.
B1 Temel Sınav Fiilleri,say,"söylemek, demek, said - said",fiil,B1,,I say it's OK.,Bunun tamam olduğunu söylüyorum.
B1 Temel Sınav Fiilleri,scan,"taramak, görüntülemek, incelemek",fiil,B1,,I have to be honest. I was a little bit nervous the first time I had an MRI scan.,Dürüst olmak zorundayım. Ben bir MRI taraması ilk yaptırdığım zaman biraz sinirliydim.
B1 Temel Sınav Fiilleri,scare,"ürkütmek, korkutmak, ödünü koparmak",fiil,B1,,You can't scare me.,Beni korkutamazsın.
B1 Temel Sınav Fiilleri,search,"araştırmak, aramak, araştırma",fiil,B1,,I knew where to search.,Nerede arayacağımı biliyordum.
B1 Temel Sınav Fiilleri,secure,"sağlamlaştırmak, güvenceye almak, elde etmek",fiil,B1,,How secure is my job?,İşim ne kadar güvende?
B1 Temel Sınav Fiilleri,sedate,"sakinleştirmek, yatıştırmak, yatıştırıcı vermek",fiil,B1,,I've never been sedated before.,Bana daha önce hiç yatıştırıcı verilmedi.
B1 Temel Sınav Fiilleri,seem,"gözükmek, görünmek, gelmek",fiil,B1,,I seem to be lost.,Kaybolmuş gibi görünüyorum.
B1 Temel Sınav Fiilleri,seems,"sanki, göründüğü gibi olmamak, görünüşe göre",fiil,B1,,He seems to be rich.,O zengin gibi görünüyor.
B1 Temel Sınav Fiilleri,send,"yollamak, göndermek, sent - sent",fiil,B1,,I'll send for you.,Senin için göndereceğim.
B1 Temel Sınav Fiilleri,serve,"hizmet etmek, tapmak, yaramak",fiil,B1,,How may I serve you?,Size nasıl hizmet edebilirim?
B1 Temel Sınav Fiilleri,set,"kurmak, set, takım",fiil,B1,,Let's set a date.,Bir tarih belirleyelim.
B1 Temel Sınav Fiilleri,should,"gerekmek, -malı, -meli",fiil,B1,,I should be in bed.,Yatakta olmam gerekir.
B1 Temel Sınav Fiilleri,sip,"yudumlamak, yudum, çekmek",fiil,B1,,Can I have a sip?,Bir yudum alabilir miyim?
B1 Temel Sınav Fiilleri,skies,"göklere çıkarmak, birini aşırı derecede övmek, öve öve bitirememek",fiil,B1,,The skies won't be clear.,Gökyüzü açık olmayacak.
B1 Temel Sınav Fiilleri,skip,"atlamak, sekmek, atlama",fiil,B1,,Don't skip this step.,Bu adımı atlama.
B1 Temel Sınav Fiilleri,smell,"koklamak, kokmak, koku",fiil,B1,,What's it smell like?,O nasıl kokuyor?
B1 Temel Sınav Fiilleri,smile,"gülümsemek, gülücük yapmak, tebessüm etmek",fiil,B1,,I love Tom's smile.,Tom'un gülümsemesini seviyorum.
B1 Temel Sınav Fiilleri,smoke,"sigara içmek, duman, duman tütmek",fiil,B1,,Don't smoke in bed.,Yatakta sigara içme.
B1 Temel Sınav Fiilleri,solve,"çözmek, halletmek, çözümlemek",fiil,B1,,I just can't solve it.,Sadece onu çözemiyorum.
B2 İleri Akademik Fiiller,sometimes,"bazen, ara sıra, arada",fiil,B2,,I admit I sometimes cry.,İtiraf ediyorum ki bazen ağlarım.
B1 Temel Sınav Fiilleri,spite,"rahatsız etmek, nispet vermek, zarar vermek",fiil,B1,,Did you do it out of spite?,Bunu inadına mı yaptın?
B1 Temel Sınav Fiilleri,stand,"geçerli olmak, katlanmak, ayakta durmak",fiil,B1,,I can't stand it.,Ona katlanamıyorum.
B1 Temel Sınav Fiilleri,start,"başlamak, başlatmak, başlangıç",fiil,B1,,It'll be a start.,Bu bir başlangıç olacak.
B1 Temel Sınav Fiilleri,state,"belirtmek, ifade etmek, devlet",fiil,B1,,He's in a bad state.,O hapı yuttu.
B1 Temel Sınav Fiilleri,stick,"saplamak, batırmak, yapışmak",fiil,B1,,Hit it with a stick.,Ona bir sopayla vur.
B1 Temel Sınav Fiilleri,still,"durgun, hareketsiz, hala",fiil,B1,,I'm still a kid.,Ben hâlâ bir çocuğum.
B2 İleri Akademik Fiiller,stimulate,"uyarmak, dürtmek, kamçılamak",fiil,B2,"foster, encourage, motivate, spur",Spending money stimulates the economy.,Harcanan para ekonomiyi canlandırıyor.
C1 Üst Düzey Paragraf Fiilleri,strengthen,"sağlamlaştırmak, kuvvetlenmek, güçlendirmek",fiil,C1,enhance,"Time, which strengthens friendship, weakens love.","Zaman, dostluğu güçlendirir, sevgiyi zayıflatır."
B2 İleri Akademik Fiiller,stretch,"uzatmak, gerinmek, germek",fiil,B2,,Let's stretch our legs.,Bacaklarımızı gerelim.
B2 İleri Akademik Fiiller,subside,"çökelmek, çökmek, geçmek",fiil,B2,,The flood began to subside.,Sel alçalmaya başladı.
B2 İleri Akademik Fiiller,suggest,"önermek, meydana atmak, tavsiye etmek",fiil,B2,,I suggest we go home.,Eve gitmemizi öneriyorum.
B2 İleri Akademik Fiiller,support,"desteklemek, destek, yardım etmek",fiil,B2,encourage,I won't support that.,Onu desteklemeyeceğim.
B2 İleri Akademik Fiiller,surprise,"şaşırtmak, şaşkınlık, sürpriz",fiil,B2,,It wasn't a surprise.,O bir sürpriz değildi.
B2 İleri Akademik Fiiller,suspend,"askıya almak, uzaklaştırma vermek, sallantıda bırakmak",fiil,B2,,I got suspended for a month.,Bir ay uzaklaştırma aldım.
